ciIndication,indication_name
2879,Parotid gland disease
654,Metabolic bone disease
2560,Discoid lupus erythematosus
2198,Hepatosplenomegaly
757,Cardiovascular tumor
1820,Ornithine transcarbamylase deficiency
1998,Progressive supranuclear palsy
2889,Porphyria cutanea tarda
625,Healing
349,Vitamin deficiency
2444,Chondrosarcoma
2445,Fibrosarcoma
2232,Vulva disease
2794,Mastalgia
2749,Hematoma
2579,Bruxism
695,Paramyxovirus infection
3056,Anal fistula
3198,Larynx tumor
3348,Acinetobacter baumanii infection
1436,Escherichia infection
2577,Albinism
2839,Niemann Pick disease type C1
2840,Niemann Pick disease type C2
1629,Cerebrovascular trauma
2700,Contusion
38,Autonomic nervous system disease
3492,AL amyloidosis
2781,Protein energy deficiency
2782,Kwashiorkor
3664,Metastatic prostate cancer
1907,Body dysmorphic syndrome
2769,Hypersplenism
791,Burkitts lymphoma
2373,Blepharoconjunctivitis
3530,Post transplant lymphoproliferative disease
3467,Metastatic renal cancer
3667,Metastatic esophageal cancer
3797,Gastrointestinal motility disorder
2158,Pseudoobstruction
2979,Surgical procedure
2887,Polymyalgia rheumatica
2283,Polyuria
3153,Adenoid tumor
2789,Angiomyolipoma
3676,Ischemic stroke
2316,Neuromyelitis optica
2814,Myelitis
3378,Soft tissue sarcoma
3010,Colonoscopy
241,Ocular injury
2187,Obstructive intestinal disease
547,Autosomal disorder
2506,Onchocerciasis
2658,Non-proliferative diabetic retinopathy
1380,Mucor infection
1471,Treponema infection
1146,Conjunctiva disease
3659,Arterial hypertension
2270,Alpha mannosidosis
1570,Pulmonary valve insufficiency
489,Unconsciousness
3863,Diarrhea predominant irritable bowel syndrome
2701,Ectopic pregnancy
1968,Hypomania
2161,Rectocele
2754,Hernia
1121,Hemangioma
2357,Glossodynia
3251,End stage renal disease
3466,Metastatic bladder cancer
2179,Varices
3679,Migraine with aura
3680,Migraine without aura
672,Myopathy
1612,Hippel Lindau syndrome
2483,Stutter
2938,Thymus neoplasm
3455,Influenza virus A infection
2275,Odontogenic tumor
3280,Hemiplegia
3795,Febrile neutropenia
673,Narcotic dependence
3542,Hidradenitis suppurativa
2426,Tinea capitis
1537,Takayasus arteritis
2859,Osteonecrosis
3857,Macular telangiectasia 2
3283,Cannabis dependence
3494,Male hypogonadism
167,Human T cell leukemia virus 1 infection
2653,Myotonic dystrophy type 1
3615,Peanut hypersensitivity
3513,Chronic thromboembolic pulmonary hypertension
498,Male genital system disease
3568,Intermediate uveitis
472,Hypothermia
2473,Polychondritis
2081,Diverticulitis
775,Retinitis
3352,Macular edema
2980,Transplantation
1936,Acute stress disorder
3517,Pyoderma gangrenosum
3600,Autoinflammatory disease
2395,Achondroplasia
2488,Synovitis
3538,Gestational diabetes
763,Nerve tumor
1972,Cardiovascular symptom
1905,Hypochondriasis
1034,Hydrocephalus
3546,Pulmonary edema
2635,Croup
3233,Exocrine pancreatic insufficiency
3650,Cervix disease
2336,Larynx disease
795,Nasopharynx tumor
3379,Marfan syndrome
440,Hyperchlorhydria
3426,Hyperlipoproteinemia type IIb
632,Hypertrophic skin disease
3660,Persistent pulmonary hypertension of the newborn
446,Lactation disorder
3416,Tissue adhesions
628,Hepatobiliary disease
1631,Brain stem infarction
1023,Temperature disorder
3645,Cardiac reperfusion injury
499,Worm infection
2411,Alagille syndrome
3354,Wet age related macular degeneration
3475,Infant colic
635,Hypotrichosis
1602,Thromboangiitis obliterans
1903,Somatization disorder
3446,Inclusion body myositis
92,Demyelinating disease
3430,Polyp
2422,Abetalipoproteinemia
198,Lesch Nyhan syndrome
1528,Diabetes insipidus
3015,Dental caries
3444,Alveolar bone loss
1118,Hypoparathyroidism
3213,Homocystinuria
1674,Nephrogenic diabetes insipidus
3841,Port wine stain
2043,Chromosome aberration
2668,DiGeorge syndrome
2890,Prader-Willi syndrome
3364,Angelman syndrome
1620,Renal artery obstruction
139,Graves disease
217,Paralysis
3431,Intestinal polyp
2010,Hyperpigmentation
386,Metal intoxication
3030,Type I tyrosinemia
3733,Traumatic brain injury
3376,Scrub typhus
3847,Chemotherapy induced nausea and vomiting
1259,Pre-eclampsia
3855,Macular telangiectasia
1369,Malassezia infection
3859,Abdominal aortic aneurysm
1826,Pyruvate carboxylase deficiency
2235,Ptosis
2233,Vaginal infection
1925,Pyromania
3498,Glucose intolerance
2017,Cerebellar ataxia
1884,Lymphedema
2494,Scoliosis
464,Trematode infection
1818,Viral pneumonia
3533,Hepatic cyst
3810,Altitude anoxia
3148,Angle closure glaucoma
802,Stomach disease
1592,Rheumatic heart disease
3098,Hypoalbuminemia
3368,Respiratory insufficiency
2592,Mydriasis
3154,Budd Chiari syndrome
3050,Chill
3361,Tendon injury
3288,Non alcoholic fatty liver disease
1578,Hypertrophic cardiomyopathy
3441,Membranous glomerulonephritis
1029,Prostate disease
1087,Hepatotoxicity drug-induced
2574,Taste disorder
2344,Peritonsillitis
2541,Mitochondrial myopathy
447,Mastitis
2367,Enzyme deficiency
476,Pleurisy
2300,Autosomal dominant polycystic kidney disease
3294,Metabolic syndrome X
3149,Intracranial aneurysm
1893,Atrial septal defect
3113,Muscle injury
2595,Aphasia
3704,Adenoma
3472,Abdominal pain
3735,Habitual abortion
2412,Biliary atresia
2500,Asthenozoospermia
3737,Germ cell and embryonic cancer
2896,Quadriplegia
421,Achalasia
3048,Latent autoimmune adult diabetes
2392,Circadian rhythm sleep disorder
3790,Vitamin D deficiency
2521,Hypertrophy
3191,Iron deficiency anemia
182,Hypothyroidism
1977,Hashimotos disease
652,Malnutrition
3884,Tooth loss
3848,Atrophic vaginitis
2223,Splenomegaly
3760,Nerve injury
2185,Pericardial disease
3682,Liver injury
118,Enterovirus infection
3578,Multiple system atrophy
3860,Thoracic aortic aneurysm
2949,Ureteral disease
3604,Coats disease
1635,Brain hypoxia-ischemia
3866,Metastatic ovary cancer
1832,Prolactinoma
3779,Infectious endocarditis
2856,Osteochondritis
2688,Pyknodysostosis
3471,Metastatic brain cancer
2379,Mixed urinary incontinence
3380,Spinocerebellar degenerations
3414,Cerebral hemorrhage
3646,Cerebrovascular reperfusion injury
1860,Intracranial hypertension
2736,Hypozincemia
3390,Cardioplegia
1539,Vascular neoplasm
1622,Arteriovenous malformation
3918,Joint infection
3916,Bladder pain
1840,Ataxia telangiectasia
3820,Cervicitis
3672,Metastatic colon cancer
2828,Vestibulocochlear nerve disorder
743,Vein disease
3747,Carbon monoxide poisoning
1530,Canavan disease
2799,Meniere disease
251,Papovavirus infection
2471,Periarthritis
3207,Macular degeneration
3787,Conjunctival neoplasm
2490,Spinal disease
1695,Klinefelter syndrome
1900,Hypovolemia
3339,Ureaplasma infection
2934,Temporomandibular joint syndrome
3754,Knee injury
2114,Hypogalactia
592,Otorhinolaryngological disease
663,Mouth disease
3442,Metrorrhagia
3694,Alcohol overdose
3468,Niemann Pick disease type C
2516,Iris disease
3550,Alcoholic liver cirrhosis
3788,Uveal melanoma
3401,Placenta disease
2037,Kidney dialysis
3216,Venous insufficiency
987,Thyroiditis
3690,Decompensated liver cirrhosis
3898,Complicated urinary tract infection
2008,Astigmatism
1099,Mineral metabolism disorder
3715,Electrolyte metabolism disorder
1976,Hyperemia
1500,Anorectal disease
3443,Bone resorption
732,Thrombocyte disorder
3291,Vaginal cancer
2264,McArdle disease
3451,Exercise induced asthma
3008,Investigative surgical procedure
581,Cholesterol metabolism disorder
2946,Trichinosis
2502,Oligospermia
1536,Polyarteritis nodosa
3095,Ventricular arrhythmia
3865,Genital herpes
1547,Long QT syndrome
3363,Brugada syndrome
2218,Hepatoblastoma
3035,Ulcerative proctitis
3456,Influenza virus B infection
3422,Dilated cardiomyopathy
3453,Nocturnal asthma
2632,Cleft palate
1792,Phimosis
3708,Apnea
3255,Stage II melanoma
2696,Dysphonia
3495,Dyssomnia
3849,Transient ischemic attack
2776,Job syndrome
3436,Lymphoblastic leukemia
518,Intellectual impairment
424,Brucella infection
3119,Rett syndrome
2993,Absence seizure
1965,Melancholia
1877,Carotid sinus syndrome
3675,Cerebrovascular ischemia
3923,Diabetic peripheral neuropathy
326,Thyroid disease
3907,Renal insufficiency
3897,Complicated skin and skin structure infection
2752,Hemosiderosis
3395,Acute liver failure
1983,Eosinophilia
3423,Factor XIII deficiency
3476,Primary hyperparathyroidism
491,Genital system disease
3509,Spinal injury
3068,Lactose intolerance
2986,Pancreas transplantation
3118,Catatonia
2610,Vitamin B12 deficiency
3425,Hyperlipoproteinemia type II
1700,Premature ovarian failure
3244,Familial mediterranean fever
296,Salmonella infection
3689,Compensated liver cirrhosis
3838,Esophageal varices
1491,Upper respiratory tract inflammation
2194,Rectal disease
2249,Mucopolysaccharidosis
3005,Vertebral fracture
765,Intestine tumor
1470,Borrelia infection
3203,Diabetic gastroparesis
3794,Neurogenic bladder
3599,Dysphoria
454,Pollakiuria
3218,Vesicoureteral reflux
3350,Trigeminal neuralgia
2921,Spondylarthritis
3668,Metastatic lung cancer
697,Parathyroid disease
3796,Renal osteodystrophy
2507,Osteoma
3445,Osteolysis
3720,Bowen disease
3774,Sexual dysfunction
1787,Penis disease
3789,Ocular melanoma
1680,Euthryroid sick syndrome
3285,Cholesteryl ester storage disease
3843,Paroxysmal supraventricular tachycardia
3018,Xeroderma pigmentosum
171,Hyperaldosteronism
1083,Calcification
2821,Nephrosclerosis
3383,Moorens ulcer
2772,Hyphema
2391,Hyperlacrimation
713,Respiratory tract inflammation
3073,Drowsiness
1255,Lymphoid leukemia
1947,Pervasive child developmental disorder
3762,Ocular pain
1789,Hypospadias
98,Diabetic cataract
3662,Secondary pulmonary arterial hypertension
3296,Diastolic heart failure
181,Hypokalemia
1483,Microsporidia infection
3590,Type I complex regional pain syndrome
3880,Intestine transplantation
2281,Anuria
1115,Mycosis fungoides
2335,Throat disease
2107,Hemorrhagic enteritis
3127,Spinal and bulbar muscular atrophy
3142,Pancreas transplant rejection
2624,Cheilitis
1553,Supraventricular tachycardia
3636,Organelle disease
3413,Venous occlusive disease
2328,Hearing loss
3644,Arterial thrombosis
83,Creutzfeldt Jakob disease
2608,Wernicke encephalopathy
2282,Oliguria
2663,Cerebellar disease
3292,Vaginal intraepithelial neoplasia
1670,Hypopituitarism
3284,Ocular surgical procedure
3132,Lennox Gastaut syndrome
3399,Familial amyloid neuropathy
3893,Limb fracture
2644,Cold agglutinin disease
482,Amino acid and protein metabolism disorder
1948,Asperger syndrome
1997,Progressive multifocal leukoencephalopathy
435,Fasciola hepatica infection
1632,Intracranial hemorrhage
3728,Systemic mastocytosis
3004,Organ transplantation
2694,Dyspareunia
3691,Drug overdose
3633,Polyostotic fibrous dysplasia
1664,Galactorrhea
2443,Angiosarcoma
2779,Korsakoff syndrome
3920,Community acquired respiratory tract infection
614,Gingiva disease
2004,Retinitis pigmentosa
3753,Joint injury
3400,Phantom limb
2530,Hyperphagia
591,Ear disease
329,Toxoplasma infection
3663,Resistant hypertension
2365,Halitosis
2538,Carcinoid tumor
3576,Megaloblastic anemia
1020,Acidosis
41,Birth complication
1123,Herpesvirus type 8 infection
3454,Dizziness
3460,Metastatic gastrointestinal cancer
1260,Aneurysm
225,Myocarditis
3039,Polydipsia
1756,Sezary syndrome
2791,Elephantiasis
3403,Placenta retention
3252,Nystagmus
4012,Cardiopulmonary bypass surgery
3373,Non segmental vitiligo
3355,Dry age related macular degeneration
2274,Rhinopharyngitis
1521,Gynecology and obstetrics
1750,Primary mediastinal large B-cell lymphoma
3477,Sensorineural hearing loss
2257,Maroteaux-Lamy syndrome
3888,Hematopoietic stem cell transplantation
3319,Mycobacterium avium infection
3862,Constipation predominant irritable bowel syndrome
437,Foot and mouth disease virus infection
3289,Becker muscular dystrophy
3297,Systolic heart failure
3369,Respiratory depression
3757,Intestine injury
2135,Nevus
2337,Hoarseness
4058,Hyperplasia
3545,Enterovirus 71 infection
2757,Hydronephrosis
332,Treponema pallidum infection
2326,Deafness
2420,Adenosine deaminase deficiency
4682,Histiocytosis
3781,Lentigo senilis
683,Nutritional deficiency
3891,Ocular neovascular disorder
3627,Adhesive capsulitis
3112,Musculoskeletal injury
3844,Lymphadenitis
2564,Alopecia areata
3117,Suicidal ideation
195,Klebsiella pneumoniae infection
4898,Major depressive disorder
459,Rickets
4010,Abdominal surgery
1640,Occlusive coronary artery disease
3450,Lebers hereditary optic atrophy
3601,Cryopyrin associated periodic syndrome
4085,Essential tremor
2519,Keratoconus
1652,Adrenoleukodystrophy
3872,Corneal transplant rejection
3256,Stage III melanoma
2492,Kyphosis
2493,Lordosis
1591,Pulmonary heart disease
3922,Degenerative disc disease
1086,Alopecia drug-induced
1646,Adrenal cortex neoplasm
3653,Uterus infection
536,Angioedema
579,Gastrointestinal ulcer
3418,Bone cyst
3482,Parkinsonism
2206,Pneumoperitoneum
305,Snoring
1405,Staphylococceae infection
2005,Refractive error
2876,Paraganglioma
2211,Gastrinoma
2019,Cholecystitis
3537,Neuritis
1849,Kasabach Merritt syndrome
3200,Hutchinson Gilford progeria syndrome
3504,Aggressive fibromatosis
3419,Cyst
3581,Presbyopia
1846,Capillary disease
3614,Milk hypersensitivity
3139,HELLP syndrome
1656,Male breast neoplasm
3077,Alport syndrome
3885,Tooth injury
2526,Eclampsia
3123,Cerebral amyloid angiopathy
3833,Familial dysautonomia
3593,Lateral epicondylitis
3503,Viral hemorrhagic fever
362,Hepatitis D virus infection
1310,Candida krusei infection
3137,Spinal stenosis
1558,Sudden cardiac death
3914,Respiratory failure
3616,Egg hypersensitivity
1850,Temporal arteritis
3372,Segmental vitiligo
2346,Nasal tumor
3481,Islet cell transplant rejection
1975,Cardialgia
6187,Bullous pemphigoid
2962,Drug eruption
2515,Choroiditis
1621,Retinal artery occlusion
2971,Fetal alcohol syndrome
512,Pigment disorder
694,Pancreas islet disease
232,Nervous system tumor
2157,Prurigo
2802,Meningioma
1886,Eale disease
1280,Hypophosphatemia
1831,Pituitary adenoma
87,Cushings disease
3555,Polycystic liver disease
2961,Intertrigo
3501,Neuromuscular blockade
2619,Causalgia
3449,Mitochondrial optic neuropathy
532,Adrenal disease
1551,Sick sinus syndrome
2935,Tendon disease
3044,Cardiovascular surgical procedure
1059,Glycogen storage disease
2000,Tay Sachs disease
2908,Sandhoff disease
2544,Metachromatic leukodystrophy
2556,Status asthmaticus
3158,Henoch Schonlein purpura
2277,Hermansky-Pudlak syndrome
462,Skin atrophy
1810,Infectious meningitis
2948,Tumor lysis syndrome
2250,Mucopolysaccharidosis type I
2957,Xanthomatosis
2190,Anal disease
2126,Macroadenoma
3792,Otitis
2671,Contracture
1132,Purpura
3514,Postnatal depression
1052,Bursitis
2009,Anisometropia
2481,Strabismus
3281,Amblyopia
2612,Calcinosis
3136,Spinal cord compression
3007,Central nervous system injury
2251,Hurler syndrome
580,Carbohydrate metabolism disorder
3775,Climacteric disorder
1473,Beta-hemolytic Streptococcus infection
2614,Carcinosarcoma
1561,Cardiac edema
1095,Ovary cyst
3463,Metastatic CNS cancer
3516,Glaucoma surgical procedure
3224,Familial thrombotic microangiopathy
350,Bone marrow failure
3551,Surgical resection
2186,Malabsorption syndrome
3716,Bacteriuria
3520,Dysplastic nevus syndrome
10,AIDS related complex
2557,Paracoccidioidomycosis
333,Trichomonas infection
2001,Tropical spastic paraparesis
779,Lymphatic system disease
3234,Polyomavirus infection
1725,Steatorrhea
561,Carditis
422,Angiogenesis disorder
674,Neoplasm by site
2363,Lip disease
2143,Parapsoriasis
1816,Fungal pneumonia
3572,Toxoplasma gondii infection
3026,Diabetic ketoacidosis
1463,Vibrio infection
2003,Reiter syndrome
638,Klebsiella infection
1428,Neisseriaceae infection
85,Cryptococcus infection
659,Middle ear disease
2603,Folic acid deficiency
2489,Tenosynovitis
306,Spina bifida
2041,Autosomal dominant disorder
2947,Trismus
2866,Pancytopenia
1627,Embolism and thrombosis
597,Enteritis
1973,Palpitation
3168,Cat scratch disease
3648,Anus pain
2667,Chromosome disorder
2469,Paresthesia
2923,Spondylolisthesis
583,Hormone metabolism disorder
3318,Mycoplasma pneumoniae infection
590,Dystrophy
2884,Obesity hypoventilation syndrome
1843,Patent foramen ovale
3230,Decompression sickness
572,Corneal dystrophy
3793,Acute external otitis
1593,Cardiovascular pregnancy complications
2321,Eosinophilia myalgia syndrome
1812,Viral encephalitis
3619,Fibrous bone dysplasia
3592,Epicondylitis
1524,Female birth control
236,Niemann Pick disease
3913,Skin injury
1588,Coronary vasospasm
2359,Pericoronitis
1564,Aortic valve insufficiency
2029,Cold injury
3919,Chronic liver failure
2615,Peripheral nervous system disease
2536,Torticollis
3525,Ovarian clear cell carcinoma
3410,Minimal change disease
2834,Neurosyphilis
3227,Streptococcus mutans infection
1951,Delusional disorder
3991,Duodenal polyp
3835,Adenomyosis
2122,Kartagener syndrome
155,Hepatitis virus infection
3924,Alcoholic liver disease
3433,Postpoliomyelitis syndrome
3505,Propionibacterium acnes infection
2715,Felty syndrome
3744,Epidermolysis bullosa dystrophica
3839,Hypogammaglobulinemia
3661,Idiopathic pulmonary arterial hypertension
3565,Multiple endocrine neoplasia type 2a
3649,Gastrointestinal pain
3868,Xerosis
3438,Degenerative myopia
2118,Indigestion
4404,Teratoma
3777,Adenoid hypertrophy
1453,Acinetobacter infection
5166,Alcohol withdrawal syndrome
3461,Metastatic hepatobiliary cancer
3773,Seborrheic keratosis
3846,Prurigo nodularis
1794,Priapism
1365,Schizophyllum infection
3556,Sickle cell crisis
1589,Myocardial stunning
1082,Calcium metabolism disorder
1683,Nodular goiter
2082,Diverticulosis
2169,Sigmoiditis
3544,Opsoclonus myoclonus syndrome
3448,Lebers congential amaurosis
1526,Hyperemesis gravidarum
1142,Proteinosis
553,Blood clotting factor deficiency
3764,Bacterial eye infection
2683,Sclerosteosis
3842,Genital ulcer
2626,Chondrocalcinosis
3353,Solar urticaria
3295,Polymorphus light eruption
2914,Silicosis
2034,Glomerular disease
3769,Anaplastic thyroid cancer
1630,Brain infarction
2463,Dyslexia
3465,Metastatic urinary tract cancer
3235,Merkel cell carcinoma
1119,Parathyroid tumor
3670,Metastatic testicular cancer
2220,Shwachman syndrome
636,Inborn error of metabolism
3683,Acute decompensated heart failure
1601,Erythromelalgia
2597,Arachnoiditis
691,Orthomyxovirus infection
2120,Intussusception
297,Salmonella typhimurium infection
2296,Renal pain
606,Female genital tract tumor
702,Phobia
1394,Bacteroides fragilis infection
456,Proteus mirabilis infection
2826,Trigeminal nerve disorder
1883,Angiodermatitis
2255,Sanfilippo syndrome
2254,Hunter syndrome
3493,Female hypogonadism
3497,Fanconi anemia
3693,Illegal drug overdose
1897,Extrasystole
2479,Vitamin C deficiency
3903,Vein graft failure
6175,Eyelash disorder
1563,Aortic valve disease
3955,Androgen deficiency
3522,Neurofibromatosis type II
5400,Methemoglobinemia
3798,Necrotizing enterocolitis
2691,Olfaction disorder
3066,Thoracic outlet syndrome
769,Head and neck injury
3948,Inflammatory breast cancer
3603,CINCA syndrome
2699,Lambert-Eaton syndrome
3655,Gastric injury
3736,Chordoma
2738,Hyperkalemia
3116,Suicide
3499,BK virus infection
2762,Factor I deficiency
3524,Legg Calve Perthes disease
2792,Lymphocele
1122,Herpesvirus type 6 infection
2460,Neurobehavioral disorder
639,Labor complication
107,Infectious mononucleosis
61,Cerebral hypoxia
565,Chorea
1510,Pancreatic endocrine tumor
4839,Echinococcus infection
3772,Cytomegalovirus inclusion disease
814,Rigor
1129,Pineal body tumor
1848,Diabetic microangiopathy
3407,Large cell lung carcinoma
3834,Diamond Blackfan anemia
2464,Acoustic neuroma
3290,Vaginal neoplasm
3231,Prostatic intraepithelial neoplasia
3908,Hepatic insufficiency
1985,Mononucleosis
1573,Tricuspid atresia
2370,Thalassemia intermedia
751,Intestine infection
559,Bronchus disease
1609,Leriche syndrome
3447,Retinal dystrophy
3652,Cervix injury
3250,Limb girdle muscular dystrophy
2467,Pneumoconiosis
1085,Hyperactivity
2808,Maxillofacial development disorder
3699,Thrombotic microangiopathy
3415,Cicatrix
3275,Fusobacterium infection
1891,Cor pulmonale
2092,Erysipelas
2994,Liver abscess
2116,Ileitis
707,Psychosexual disorder
2733,Hypomagnesemia
3547,Hepatic edema
3282,Acute chest syndrome
3075,Eosinophilic esophagitis
3405,Dents disease
3223,Cheynes Stokes breathing
2768,Hyperostosis
2766,Hyperkinesia
1291,Deltavirus infection
266,Pityriasis capitis infection
682,Nose disease
1469,Leptospiraceae infection
2790,Lymphangiosarcoma
520,Abdominal cavity inflammation
3840,Membranoproliferative glomerulonephritis
1875,Atrioventricular block
2760,Hyperesthesia
2649,Paraproteinemia
1769,Renal sarcoma
3759,Bladder injury
3677,Hemorrhagic stroke
3398,Glomerulosclerosis
2723,Fructose intolerance
741,Varicosis
1763,NK cell large granular lymphocyte leukemia
3382,Basal cell nevus syndrome
2247,Gauchers disease type III
3684,Charcot Marie Tooth type 1 disease
1988,Agranulocytosis
2294,Natriuresis
2707,Neural tube defect
817,Degeneration
2292,Pyuria
1045,Lipoprotein deficiency
3904,Acquired hemophilia
1021,Alkalosis
3228,Cerebrotendinous xanthomatosis
2189,Esophageal injury
684,Nutritional disorder
798,Pharynx disease
1986,Lymphocytosis
3539,Nephropathic cystinosis
1870,Inherited long QT syndrome
3730,Renal hemorrhage
3249,Thrombasthenia
3905,Congenital hemophilia
1844,Phlebitis
1868,Varicocele
1043,Lipoprotein metabolism disorder
5876,Lactic acidosis
3696,Paracetamol overdose
815,Sweat gland disease
3563,Multiple endocrine neoplasia type 1
1679,Nelson syndrome
2712,Orbital disease
3554,Prostatectomy
3755,Artery injury
2007,Hyperopia
1062,Paranasal sinus disease
2775,Hypothyroxinemia
2820,Nephrocalcinosis
2886,Pleuropneumonia
5782,Hiccup
2702,Limb development disorder
2824,Oculomotor nerve disorder
1111,Bullous skin disease
3776,Erythropoietic protoporphyria
1019,Acidemia
1823,Methylmalonic acidemia
2055,Neuronal ceroid lipofuscinosis
2256,Morquio syndrome
2306,Citrullinuria
2725,Galactosemia
2728,Globoid cell leukodystrophy
2898,Peroxisome disease
3741,Glycogen storage disease 1a
3742,Glycogen storage disease 1b
5426,Glutaric aciduria
3612,Food hypersensitivity
1691,Androgen insensitivity syndrome
3428,Hyperlipoproteinemia type IV
3552,Tumor resection
3921,Intervertebral disc disease
1017,Tongue disease
1065,Brain malformation
247,Pagets breast disease
1582,Kearns syndrome
2892,Dental pulp disease
3912,Necrotizing acute pancreatitis
3895,Knee fracture
2025,Evans syndrome
3770,X linked dominant hypophosphatemic rickets
2063,Air sickness
3751,Leukodystrophy
2347,Nasal cancer
3681,Andersen Tawil syndrome
3033,Ophthalmia neonatorum
1628,Vascular fistula
1933,Undifferentiated schizophrenia
1719,Testicular disease
1944,Cyclothymic disorder
3052,Erythema multiforme
3434,Rectovaginal fistula
2511,Immunoglobulin G deficiency
3511,Left heart disease pulmonary hypertension
3245,Nephrogenic fibrosing dermopathy
3412,Vascular occlusive disease
3199,Otorhinolaryngological tumor
2462,Language disorder
2901,Myoma
2408,Machado-Joseph disease
1650,Bartters disease
807,Duodenum disease
3894,Lower limb fracture
2416,Craniosynostosis
2631,Cleft lip
3610,Birt Hogg Dube syndrome
2963,Toxic epidermal necrolysis
3889,Umbilical cord stem cell transplantation
3850,Hypoalphalipoproteinemia
3998,Ganglioneuroblastoma
3878,Organ transplant rejection
3639,Congenital stationary night blindness
1927,Sexual compulsive disorder
1571,Pulmonary valve stenosis
1531,Pericarditis
3053,Stevens Johnson syndrome
3896,Upper limb fracture
2021,Ehlers Danlos syndrome
3767,Smith Lemli Opitz syndrome
1923,Kleptomania
2350,Nasal fracture
749,Insect infection
2354,Ethmoiditis
3791,Hypophosphatasia
2648,Blood protein disorder
3479,Noise induced hearing loss
1633,Periventricular leukomalacia
3623,Severe combined immunodeficiency syndrome
2329,Otorrhea
1901,Hypervolemia
3825,Bernard Horner syndrome
3630,Joubert syndrome
2069,Benign skin tumor
3243,POEMS syndrome
664,Mouth inflammation
3745,Facioscapulohumeral muscular dystrophy
3587,Corneal opacity
3870,Corneal edema
2262,Coris disease
2044,Aneuploidy
2052,Female genital tract disease
2904,Rhabdomyolysis
3732,Acquired brain injury
3861,Sickle beta 0 thalassemia
1946,Pediatric psychiatric disorder
1885,Nonne Milroy Meige syndrome
2384,Trichothiodystrophy
3527,Carnitine palmitoyltransferase 1 deficiency
2338,Laryngismus
3624,DNA repair defiency disorder
2390,Alacrima
475,Hypolipidemia
2602,Vitamin B deficiency
2932,Jaw disease
3632,Leigh disease
2532,Lymphangioma
2865,Pancoast syndrome
531,Adrenal cortex disease
2341,Laryngotonsillitis
2162,Rectosigmoiditis
2149,Peutz Jegher syndrome
5709,Gyrate atrophy
2593,Miosis
4013,Fragile X-associated tremor ataxia syndrome
1834,Malignant hyperthermia
2101,Gastrospasm
3740,Fatty acid oxidation disorder
3738,Choriocarcinoma
3351,Papillary thyroid tumor
1799,Fungal urinary tract infection
2522,Ocular hemorrhage
3536,Alcoholic fatty liver disease
3613,Wheat hypersensitivity
2867,Panniculitis
1406,Lactobacillales infection
3709,Apraxia
2524,Asphyxia
1913,Transsexualism
3214,Osteodystrophy
3485,Facial hemiatrophy
3093,Emotional lability
3594,Medial epicondylitis
3837,Choroideremia
3435,Sleep maintenance insomnia
2387,Dacryocystitis
3126,Hereditary spastic paraplegia
1667,Gigantism
1104,Delayed hypersensitivity
563,Central nervous system development disorder
1703,Sertoli-Leydig cell tumor
1706,Granulosa cell tumor
3219,Fibrodysplasia ossificans progressiva
1604,Angiodysplasia
1605,Gastric antral vascular ectasia
2108,Hemorrhagic telangiectasia
3099,Hereditary neoplastic syndrome
429,Coma
2851,Nyctalopia
3012,Radiotherapy induced emesis
5422,Familial periodic paralysis
496,Nervous system development disorder
3229,Barotrauma
1999,Sydenham chorea
1830,Osteoblastoma
747,Infectious arthritis
4000,Neuroma
4014,Bone marrow aplasia
3598,Dyskeratosis congenita
1139,Leishmania mexicana infection
1305,Infection by anatomical location
2430,Osteomalacia
2074,Calciphylaxis
1574,Tricuspid insufficiency
2797,Facial nerve disease
3739,Fatty acid metabolism disorder
3766,Fungal eye infection
1858,Fat embolism
2060,Batten disease
3316,Enterobacter aerogenes infection
269,Plasmodium knowlesi infection
6412,Pulmonary stenosis
1825,Propionic acidemia
3028,Jejunum ulcer
5650,Leukoencephalopathy
3562,Multiple endocrine neoplasia
1904,Conversion disorder
1938,Dissociative disorder
3560,Netherton syndrome
2716,Fibrous tissue neoplasm
1527,Morning sickness
2160,Pyloric stenosis
2594,Aphakia
2730,Hallervorden-Spatz syndrome
1859,Gsell Erdheim syndrome
3143,N-acetylglutamate synthase deficiency
3144,Hyperammonemia
2793,Malocclusion
3851,Carbamoyl phosphate synthase deficiency
1522,Obstetrics
784,Lymphadenopathy
6396,Respiratory tract bleeding
2238,Biliary dyskinesia
689,Esophageal function disorder
2123,Lentiginosis
2616,Nerve compression syndrome
2745,Copper metabolism disorder
2366,Enzyme metabolism disorder
2095,Fanconi Albertini Zellweger syndrome
384,Vaccination
2981,Cell transplantation
6465,Hypertransaminasemia
3621,Gitelman syndrome
2907,Rubinstein-Taybi syndrome
3421,Congenital ichthyosiform erythroderma
2291,Hematuria
3678,Urethral cancer
6474,Amino acid metabolism disorder
611,Genital tract tumor
2714,Exophthalmos
1508,Pancreatic cystadenocarcinoma
1586,Coronary aneurysm
3156,Vitreous humor disease
796,Congenital lung disease
1066,Spleen disease
2875,Papilledema
1018,Acid base imbalance
1300,Prion infection
3734,Non traumatic brain injury
5362,Endocrine development disorder
2330,Otosclerosis
3483,Parkinsons disease dementia
2394,Agammaglobulinemia
2517,Iritis
3987,Appendix adenoma
2197,Hepatomegaly
3549,Ichthyosis vulgaris
383,Respiratory congestion
1618,Mesenteric vascular occlusion
2334,Otalgia
1098,Premedication
