icd9,icd9_condition,category,super_category
316,Psychic factors associated with diseases classified elsewhere,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
317,Mild mental retardation,Mental retardation (317-319),mental disorders
318,Other specified mental retardation,Mental retardation (317-319),mental disorders
319,Unspecified mental retardation,Mental retardation (317-319),mental disorders
320,Bacterial meningitis,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
321,Meningitis due to other organisms,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
322,Meningitis of unspecified cause,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
324,Intracranial and intraspinal abscess,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
325,Phlebitis and thrombophlebitis of intracranial venous sinuses,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
326,Late effects of intracranial abscess or pyogenic infection,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
327,Organic sleep disorders,Inflammatory diseases of the central nervous system (320-326),diseases of the nervous system and sense organs
330,Cerebral degenerations usually manifest in childhood,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
331,Other cerebral degenerations,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
332,Parkinson's disease,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
333,Other extrapyramidal disease and abnormal movement disorders,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
334,Spinocerebellar disease,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
335,Anterior horn cell disease,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
336,Other diseases of spinal cord,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
337,Disorders of the autonomic nervous system,Hereditary and degenerative diseases of the central nervous system (330-337),diseases of the nervous system and sense organs
338,"Pain, not elsewhere classified",Pain (338),diseases of the nervous system and sense organs
339,Other headache syndromes,Other headache syndromes (339),diseases of the nervous system and sense organs
340,Multiple sclerosis,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
341,Other demyelinating diseases of central nervous system,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
342,Hemiplegia and hemiparesis,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
343,Infantile cerebral palsy,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
344,Other paralytic syndromes,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
345,Epilepsy,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
346,Migraine,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
347,Cataplexy and narcolepsy,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
348,Other conditions of brain,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
349,Other and unspecified disorders of the nervous system,Other disorders of the central nervous system (340-349),diseases of the nervous system and sense organs
350,Trigeminal nerve disorders,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
351,Facial nerve disorders,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
352,Disorders of other cranial nerves,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
353,Nerve root and plexus disorders,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
354,Mononeuritis of upper limb and mononeuritis multiplex,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
355,Mononeuritis of lower limb,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
356,Hereditary and idiopathic peripheral neuropathy,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
357,Inflammatory and toxic neuropathy,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
358,Myoneural disorders,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
359,Muscular dystrophies and other myopathies,Disorders of the peripheral nervous system (350-359),diseases of the nervous system and sense organs
360,Disorders of the globe,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
361,Retinal detachments and defects,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
362,Other retinal disorders,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
363,Chorioretinal inflammations and scars and other disorders of choroid,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
364,Disorders of iris and ciliary body,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
365,Glaucoma,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
366,Cataract,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
367,Disorders of refraction and accommodation,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
368,Visual disturbances,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
369,Blindness and low vision,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
370,Keratitis,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
371,Corneal opacity and other disorders of cornea,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
372,Disorders of conjunctiva,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
373,Inflammation of eyelids,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
374,Other disorders of eyelids,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
375,Disorders of lacrimal system,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
376,Disorders of the orbit,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
377,Disorders of optic nerve and visual pathways,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
378,Strabismus and other disorders of binocular eye movements,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
379,Other disorders of eye,Disorders of the eye and adnexa (360-379),diseases of the nervous system and sense organs
380,Disorders of external ear,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
381,Nonsuppurative otitis media and Eustachian tube disorders,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
382,Suppurative and unspecified otitis media,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
383,Mastoiditis and related conditions,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
384,Other disorders of tympanic membrane,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
385,Other disorders of middle ear and mastoid,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
386,Vertiginous syndromes and other disorders of vestibular system,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
387,Otosclerosis,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
388,Other disorders of ear,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
389,Hearing loss,Diseases of the ear and mastoid process (380-389),diseases of the nervous system and sense organs
390,Rheumatic fever without mention of heart involvement,Acute rheumatic fever (390-392),diseases of the circulatory system
391,Rheumatic fever with heart involvement,Acute rheumatic fever (390-392),diseases of the circulatory system
392,Rheumatic chorea,Acute rheumatic fever (390-392),diseases of the circulatory system
393,Chronic rheumatic pericarditis,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
394,Diseases of mitral valve,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
395,Diseases of aortic valve,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
396,Diseases of mitral and aortic valves,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
397,Diseases of other endocardial structures,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
398,Other rheumatic heart disease,Chronic rheumatic heart disease (393-398),diseases of the circulatory system
401,Essential hypertension,Hypertensive disease (401-405),diseases of the circulatory system
402,Hypertensive heart disease,Hypertensive disease (401-405),diseases of the circulatory system
403,Hypertensive renal disease,Hypertensive disease (401-405),diseases of the circulatory system
404,Hypertensive heart and renal disease,Hypertensive disease (401-405),diseases of the circulatory system
405,Secondary hypertension,Hypertensive disease (401-405),diseases of the circulatory system
410,Acute myocardial infarction,Ischemic heart disease (410-414),diseases of the circulatory system
411,Other acute and subacute form of ischemic heart disease,Ischemic heart disease (410-414),diseases of the circulatory system
412,Old myocardial infarction,Ischemic heart disease (410-414),diseases of the circulatory system
413,Angina pectoris,Ischemic heart disease (410-414),diseases of the circulatory system
414,Other forms of chronic ischemic heart disease,Ischemic heart disease (410-414),diseases of the circulatory system
415,Acute pulmonary heart disease,Diseases of pulmonary circulation (415-417),diseases of the circulatory system
416,Chronic pulmonary heart disease,Diseases of pulmonary circulation (415-417),diseases of the circulatory system
417,Other diseases of pulmonary circulation,Diseases of pulmonary circulation (415-417),diseases of the circulatory system
420,Acute pericarditis,Other forms of heart disease (420-429),diseases of the circulatory system
421,Acute and subacute endocarditis,Other forms of heart disease (420-429),diseases of the circulatory system
422,Acute myocarditis,Other forms of heart disease (420-429),diseases of the circulatory system
423,Other diseases of pericardium,Other forms of heart disease (420-429),diseases of the circulatory system
424,Other diseases of endocardium,Other forms of heart disease (420-429),diseases of the circulatory system
425,Cardiomyopathy,Other forms of heart disease (420-429),diseases of the circulatory system
426,Conduction disorders,Other forms of heart disease (420-429),diseases of the circulatory system
427,Cardiac dysrhythmias,Other forms of heart disease (420-429),diseases of the circulatory system
428,Heart failure,Other forms of heart disease (420-429),diseases of the circulatory system
429,Ill-defined descriptions and complications of heart disease,Other forms of heart disease (420-429),diseases of the circulatory system
430,Subarachnoid hemorrhage,Cerebrovascular disease (430-438),diseases of the circulatory system
431,Intracerebral hemorrhage,Cerebrovascular disease (430-438),diseases of the circulatory system
432,Other and unspecified intracranial hemorrhage,Cerebrovascular disease (430-438),diseases of the circulatory system
433,Occlusion and stenosis of precerebral arteries,Cerebrovascular disease (430-438),diseases of the circulatory system
434,Occlusion of cerebral arteries,Cerebrovascular disease (430-438),diseases of the circulatory system
435,Transcient cerebral ischemia,Cerebrovascular disease (430-438),diseases of the circulatory system
436,Acute but ill-defined cerebrovascular disease,Cerebrovascular disease (430-438),diseases of the circulatory system
437,Other and ill-defined cerebrovascular disease,Cerebrovascular disease (430-438),diseases of the circulatory system
438,Late effects of cerebrovascular disease,Cerebrovascular disease (430-438),diseases of the circulatory system
440,Atherosclerosis,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
441,Aortic aneurysm and dissection,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
442,Other aneurysm,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
443,Other peripheral vascular disease,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
444,Arterial embolism and thrombosis,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
445,Atheroembolism,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
446,Polyarteritis nodosa and allied conditions,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
447,Other disorders of arteries and arterioles,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
448,Diseases of capillaries,"Diseases of arteries, arterioles, and capillaries (440-448)",diseases of the circulatory system
451,Phlebitis and thrombophlebitis,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
452,Portal vein thrombosis,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
453,Other venous embolism and thrombosis,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
454,Varicose veins of lower extremities,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
455,Hemorrhoids,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
456,Varicose veins of other sites,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
457,Noninfective disorders of lymphatic channels,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
458,Hypotension,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
459,Other disorders of circulatory system,"Diseases of veins and lymphatics, and other diseases of circulatory system (451-459)",diseases of the circulatory system
460,Acute nasopharyngitis [common cold],Acute respiratory infections (460-466),diseases of the respiratory system
461,Acute sinusitis,Acute respiratory infections (460-466),diseases of the respiratory system
462,Acute pharyngitis,Acute respiratory infections (460-466),diseases of the respiratory system
463,Acute tonsillitis,Acute respiratory infections (460-466),diseases of the respiratory system
464,Acute laryngitis and tracheitis,Acute respiratory infections (460-466),diseases of the respiratory system
465,Acute upper respiratory infections of multiple or unspecified sites,Acute respiratory infections (460-466),diseases of the respiratory system
466,Acute bronchitis and bronchiolitis,Acute respiratory infections (460-466),diseases of the respiratory system
470,Deviated nasal septum,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
471,Nasal polyps,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
472,Chronic pharyngitis and nasopharyngitis,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
473,Chronic sinusitis,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
474,Chronic disease of tonsils and adenoids,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
475,Peritonsillar abscess,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
476,Chronic laryngitis and laryngotracheitis,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
477,Allergic rhinitis,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
478,Other diseases of upper respiratory tract,Other diseases of upper respiratory tract (470-478),diseases of the respiratory system
480,Viral pneumonia,Pneumonia and influenza (480-488),diseases of the respiratory system
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Pneumonia and influenza (480-488),diseases of the respiratory system
482,Other bacterial pneumonia,Pneumonia and influenza (480-488),diseases of the respiratory system
483,Pneumonia due to other specified organism,Pneumonia and influenza (480-488),diseases of the respiratory system
484,Pneumonia in infectious diseases classified elsewhere,Pneumonia and influenza (480-488),diseases of the respiratory system
485,"Bronchopneumonia, organism unspecified",Pneumonia and influenza (480-488),diseases of the respiratory system
486,"Pneumonia, organism unspecified",Pneumonia and influenza (480-488),diseases of the respiratory system
487,Influenza,Pneumonia and influenza (480-488),diseases of the respiratory system
488,Influenza due to identified avian influenza virus,Pneumonia and influenza (480-488),diseases of the respiratory system
490,"Bronchitis, not specified as acute or chronic",Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
491,Chronic bronchitis,Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
492,Emphysema,Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
493,Asthma,Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
494,Bronchiectasis,Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
495,Extrinsic allergic alveolitis,Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
496,"Chronic airways obstruction, not elsewhere classified",Chronic obstructive pulmonary disease and allied conditions (490-496),diseases of the respiratory system
500,Coalworkers' pneumoconiosis,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
501,Asbestosis,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
502,Pneumoconiosis due to other silica or silicates,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
503,Pneumoconiosis due to other inorganic dust,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
504,Pneumopathy due to inhalation of other dust,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
505,"Pneumoconiosis, unspecified",Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
506,Respiratory conditions due to chemical fumes and vapors,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
507,Pneumonitis due to solids and liquids,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
508,Respiratory conditions due to other and unspecified external agents,Pneumoconioses and other lung diseases due to external agents (500-508),diseases of the respiratory system
510,Empyema,Other diseases of respiratory system (510-519),diseases of the respiratory system
511,Pleurisy,Other diseases of respiratory system (510-519),diseases of the respiratory system
512,Pneumothorax,Other diseases of respiratory system (510-519),diseases of the respiratory system
513,Abscess of lung and mediastinum,Other diseases of respiratory system (510-519),diseases of the respiratory system
514,Pulmonary congestion and hypostasis,Other diseases of respiratory system (510-519),diseases of the respiratory system
515,Postinflammatory pulmonary fibrosis,Other diseases of respiratory system (510-519),diseases of the respiratory system
516,Other alveolar and parietoalveolar pneumopathy,Other diseases of respiratory system (510-519),diseases of the respiratory system
517,Lung involvement in conditions classified elsewhere,Other diseases of respiratory system (510-519),diseases of the respiratory system
518,Other diseases of lung,Other diseases of respiratory system (510-519),diseases of the respiratory system
519,Other diseases of respiratory system,Other diseases of respiratory system (510-519),diseases of the respiratory system
520,Disorders of tooth development and eruption,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
521,Diseases of hard tissues of teeth,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
522,Diseases of pulp and periapical tissues,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
523,Gingival and periodontal diseases,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
524,"Dentofacial anomalies, including malocclusion","Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
525,Other diseases and conditions of the teeth and supporting structures,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
526,Diseases of the jaws,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
527,Diseases of the salivary glands,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
529,Diseases and other conditions of the tongue,"Diseases of oral cavity, salivary glands, and jaws (520-529)",diseases of the digestive system
530,Diseases of esophagus,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
531,Gastric ulcer,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
532,Duodenal ulcer,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
533,"Peptic ulcer, site unspecified","Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
534,Gastrojejunal ulcer,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
535,Gastritis and duodenitis,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
536,Disorders of function of stomach,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
537,Other disorders of stomach and duodenum,"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
538,Gastrointestinal mucositis (ulcerative),"Diseases of esophagus, stomach, and duodenum (530-538)",diseases of the digestive system
540,Acute appendicitis,Appendicitis (540-543),diseases of the digestive system
541,"Appendicitis, unqualified",Appendicitis (540-543),diseases of the digestive system
542,Other appendicitis,Appendicitis (540-543),diseases of the digestive system
543,Other diseases of appendix,Appendicitis (540-543),diseases of the digestive system
550,Inguinal hernia,Hernia of abdominal cavity (550-553),diseases of the digestive system
551,"Other hernia of abdominal cavity, with gangrene",Hernia of abdominal cavity (550-553),diseases of the digestive system
552,"Other hernia of abdominal cavity, with obstruction, but without mention of gangrene",Hernia of abdominal cavity (550-553),diseases of the digestive system
553,Other hernia of abdominal cavity without mention of obstruction or gangrene,Hernia of abdominal cavity (550-553),diseases of the digestive system
555,Regional enteritis,Noninfective enteritis and colitis (555-558),diseases of the digestive system
556,Ulcerative colitis,Noninfective enteritis and colitis (555-558),diseases of the digestive system
557,Vascular insufficiency of intestine,Noninfective enteritis and colitis (555-558),diseases of the digestive system
558,Other noninfective gastroenteritis and colitis,Noninfective enteritis and colitis (555-558),diseases of the digestive system
560,Intestinal obstruction without mention of hernia,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
562,Diverticula of intestine,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
564,"Functional digestive disorders, not elsewhere classified",Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
565,Anal fissure and fistula,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
566,Abscess of anal and rectal regions,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
567,Peritonitis,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
568,Other disorders of peritoneum,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
569,Other disorders of intestine,Other diseases of intestines and peritoneum (560-569),diseases of the digestive system
570,Acute and subacute necrosis of liver,Other diseases of digestive system (570-579),diseases of the digestive system
571,Chronic liver disease and cirrhosis,Other diseases of digestive system (570-579),diseases of the digestive system
572,Liver abscess and sequelae of chronic liver disease,Other diseases of digestive system (570-579),diseases of the digestive system
573,Other disorders of liver,Other diseases of digestive system (570-579),diseases of the digestive system
574,Cholelithiasis,Other diseases of digestive system (570-579),diseases of the digestive system
575,Other disorders of gallbladder,Other diseases of digestive system (570-579),diseases of the digestive system
576,Other disorders of biliary tract,Other diseases of digestive system (570-579),diseases of the digestive system
577,Diseases of pancreas,Other diseases of digestive system (570-579),diseases of the digestive system
578,Gastrointestinal hemorrhage,Other diseases of digestive system (570-579),diseases of the digestive system
579,Intestinal malabsorption,Other diseases of digestive system (570-579),diseases of the digestive system
580,Acute glomerulonephritis,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
581,Nephrotic syndrome,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
582,Chronic glomerulonephritis,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
583,"Nephritis and nephropathy, not specified as acute or chronic","Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
584,Acute renal failure,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
585,Chronic renal failure,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
586,"Renal failure, unspecified","Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
587,"Renal sclerosis, unspecified","Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
588,Disorders resulting from impaired renal function,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
589,Small kidney of unknown cause,"Nephritis, nephrotic syndrome, and nephrosis (580-589)",diseases of the genitourinary system
590,Infections of kidney,Other diseases of urinary system (590-599),diseases of the genitourinary system
591,Hydronephrosis,Other diseases of urinary system (590-599),diseases of the genitourinary system
592,Calculus of kidney and ureter,Other diseases of urinary system (590-599),diseases of the genitourinary system
593,Other disorders of kidney and ureter,Other diseases of urinary system (590-599),diseases of the genitourinary system
594,Calculus of lower urinary tract,Other diseases of urinary system (590-599),diseases of the genitourinary system
595,Cystitis,Other diseases of urinary system (590-599),diseases of the genitourinary system
596,Other disorders of bladder,Other diseases of urinary system (590-599),diseases of the genitourinary system
597,"Urethritis, not sexually transmitted, and urethral syndrome",Other diseases of urinary system (590-599),diseases of the genitourinary system
598,Urethral stricture,Other diseases of urinary system (590-599),diseases of the genitourinary system
599,Other disorders of urethra and urinary tract,Other diseases of urinary system (590-599),diseases of the genitourinary system
600,Hyperplasia of prostate,Diseases of male genital organs (600-608),diseases of the genitourinary system
601,Inflammatory diseases of prostate,Diseases of male genital organs (600-608),diseases of the genitourinary system
602,Other disorders of prostate,Diseases of male genital organs (600-608),diseases of the genitourinary system
603,Hydrocele,Diseases of male genital organs (600-608),diseases of the genitourinary system
604,Orchitis and epididymitis,Diseases of male genital organs (600-608),diseases of the genitourinary system
605,Redundant prepuce and phimosis,Diseases of male genital organs (600-608),diseases of the genitourinary system
606,"Infertility, male",Diseases of male genital organs (600-608),diseases of the genitourinary system
607,Disorders of penis,Diseases of male genital organs (600-608),diseases of the genitourinary system
608,Other disorders of male genital organs,Diseases of male genital organs (600-608),diseases of the genitourinary system
610,Benign mammary dysplasias,Disorders of breast (610-611),diseases of the genitourinary system
611,Other disorders of breast,Disorders of breast (610-611),diseases of the genitourinary system
612,Deformity and disproportion of reconstructed breast,Disorders of breast (610-611),diseases of the genitourinary system
614,"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum",Inflammatory disease of female pelvic organs (614-616),diseases of the genitourinary system
615,"Inflammatory diseases of uterus, except cervix",Inflammatory disease of female pelvic organs (614-616),diseases of the genitourinary system
616,"Inflammatory disease of cervix, vagina, and vulva",Inflammatory disease of female pelvic organs (614-616),diseases of the genitourinary system
617,Endometriosis,Other disorders of female genital tract (617-629),diseases of the genitourinary system
618,Genital prolapse,Other disorders of female genital tract (617-629),diseases of the genitourinary system
619,Fistula involving female genital tract,Other disorders of female genital tract (617-629),diseases of the genitourinary system
620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",Other disorders of female genital tract (617-629),diseases of the genitourinary system
621,"Disorders of uterus, not elsewhere classified",Other disorders of female genital tract (617-629),diseases of the genitourinary system
622,Noninflammatory disorders of cervix,Other disorders of female genital tract (617-629),diseases of the genitourinary system
623,Noninflammatory disorders of vagina,Other disorders of female genital tract (617-629),diseases of the genitourinary system
624,Noninflammatory disorders of vulva and perineum,Other disorders of female genital tract (617-629),diseases of the genitourinary system
625,Pain and other symptoms associated with female genital organs,Other disorders of female genital tract (617-629),diseases of the genitourinary system
626,Disorders of menstruation and other abnormal bleeding from female genital tract,Other disorders of female genital tract (617-629),diseases of the genitourinary system
627,Menopausal and postmenopausal disorders,Other disorders of female genital tract (617-629),diseases of the genitourinary system
628,"Infertility, female",Other disorders of female genital tract (617-629),diseases of the genitourinary system
629,Other disorders of female genital organs,Other disorders of female genital tract (617-629),diseases of the genitourinary system
630,Hydatidiform mole,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
631,Other abnormal product of conception,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
632,Missed abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
633,Ectopic pregnancy,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
634,Spontaneous abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
635,Legally induced abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
636,Illegally induced abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
637,Unspecified abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
638,Failed attempted abortion,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
639,Complications following abortion and ectopic and molar pregnancies,Ectopic and molar pregnancy and other pregnancy with abortive outcome (630-639),"complications of pregnancy, childbirth, and the puerperium"
640,Hemorrhage in early pregnancy,Complications mainly related to pregnancy (640-649),"complications of pregnancy, childbirth, and the puerperium"
641,"Antepartum hemorrhage, abruptio placentae, and placenta previa",Complications mainly related to pregnancy (640-649),"complications of pregnancy, childbirth, and the puerperium"
642,"Hypertension complicating pregnancy, childbirth, and the puerperium",Complications mainly related to pregnancy (640-649),"complications of pregnancy, childbirth, and the puerperium"
643,Excessive vomiting in pregnancy,Complications mainly related to pregnancy (640-649),"complications of pregnancy, childbirth, and the puerperium"
