cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
renal sarcoma,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,0
nephroblastoma,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,0
transitional cell carcinoma,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,0
urethral cancer,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,0
urinary tract tumor,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,1
genitourinary tract tumor,189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant Neoplasm Of Genitourinary Organs,Neoplasms,1
retinoblastoma,190,Malignant neoplasm of eye,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
lacrimal gland disease,190,Malignant neoplasm of eye,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
uveal melanoma,190,Malignant neoplasm of eye,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
ocular tumor,190,Malignant neoplasm of eye,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
glioma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
glioblastoma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
medulloblastoma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
gliosarcoma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
metastatic brain cancer,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
anaplastic astrocytoma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
brain tumor,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
ependymoma,191,Malignant neoplasm of brain,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
nervous system tumor,192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
spinal cord tumor,192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
astrocytoma,192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
central nervous system tumor,192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
nerve tumor,192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
medullary thyroid cancer,193,Malignant neoplasm of thyroid gland,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
papillary thyroid tumor,193,Malignant neoplasm of thyroid gland,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
anaplastic thyroid cancer,193,Malignant neoplasm of thyroid gland,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
thyroid tumor,193,Malignant neoplasm of thyroid gland,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
adrenal cortical carcinoma,194,Malignant neoplasm of other endocrine glands and related structures,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
neuroblastoma,194,Malignant neoplasm of other endocrine glands and related structures,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
paraganglioma,194,Malignant neoplasm of other endocrine glands and related structures,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
adrenal gland tumor,194,Malignant neoplasm of other endocrine glands and related structures,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
pituitary tumor,194,Malignant neoplasm of other endocrine glands and related structures,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
metastatic head and neck cancer,195,Malignant neoplasm of other and ill-defined sites,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
head and neck tumor,195,Malignant neoplasm of other and ill-defined sites,Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,1
advanced solid tumor,199,"Malignant neoplasms, without specification of site",Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
adenocarcinoma,199,"Malignant neoplasms, without specification of site",Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
metastasis,199,"Malignant neoplasms, without specification of site",Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
cancer,199,"Malignant neoplasms, without specification of site",Malignant Neoplasm Of Other And Unspecified Sites,Neoplasms,0
burkitts lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
skin lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
mantle cell lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
marginal zone b-cell lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
anaplastic large cell lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
diffuse large b-cell lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
lymphoplasmacytoid lymphoma,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
hodgkins disease,201,Hodgkin's disease,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
t-cell lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
b-cell lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
non-hodgkin lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
mycosis fungoides,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
hairy cell leukemia,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
follicle center lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
peripheral t-cell lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
cutaneous t-cell lymphoma,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
sezary syndrome,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
systemic mastocytosis,202,Other malignant neoplasms of lymphoid and histiocytic tissue,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
multiple myeloma,203,Multiple myeloma and immunoproliferative neoplasms,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
lymphoid leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
acute lymphoblastic leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
b-cell acute lymphoblastic leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
t-cell acute lymphoblastic leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
chronic lymphocytic leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
adult t-cell lymphoma,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
lymphoblastic leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
t-cell large granular lymphocyte leukemia,204,Lymphoid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
myeloid leukemia,205,Myeloid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
acute myelogenous leukemia,205,Myeloid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
acute promyelocytic leukemia,205,Myeloid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
chronic myelocytic leukemia,205,Myeloid leukemia,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
hematological neoplasm,208,Leukemia of unspecified cell type,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
leukemia,208,Leukemia of unspecified cell type,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
acute leukemia,208,Leukemia of unspecified cell type,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
chronic leukemia,208,Leukemia of unspecified cell type,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
prolymphocytic leukemia,208,Leukemia of unspecified cell type,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,Neoplasms,0
carcinoid tumor,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,1
endocrine tumor,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,1
neuroendocrine tumor,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,1
merkel cell carcinoma,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,0
vipoma,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,0
pancreatic endocrine tumor,209,Neuroendocrine tumors,Neuroendocrine Tumors,Neoplasms,1
mouth tumor,210,"Benign neoplasm of lip, oral cavity, and pharynx",Benign Neoplasms,Neoplasms,1
familial adenomatous polyposis,211,Benign neoplasm of other parts of digestive system,Benign Neoplasms,Neoplasms,0
insulinoma,211,Benign neoplasm of other parts of digestive system,Benign Neoplasms,Neoplasms,0
intestinal polyp,211,Benign neoplasm of other parts of digestive system,Benign Neoplasms,Neoplasms,0
lipoma,214,Lipoma,Benign Neoplasms,Neoplasms,0
papulosis,216,Benign neoplasm of skin,Benign Neoplasms,Neoplasms,0
dysplastic nevus syndrome,216,Benign neoplasm of skin,Benign Neoplasms,Neoplasms,0
angiomyolipoma,223,Benign neoplasm of kidney and other urinary organs,Benign Neoplasms,Neoplasms,0
conjunctival neoplasm,224,Benign neoplasm of eye,Benign Neoplasms,Neoplasms,0
acoustic neuroma,225,Benign neoplasm of brain and other parts of nervous system,Benign Neoplasms,Neoplasms,0
meningioma,225,Benign neoplasm of brain and other parts of nervous system,Benign Neoplasms,Neoplasms,0
pheochromocytoma,227,Benign neoplasm of other endocrine glands and related structures,Benign Neoplasms,Neoplasms,0
adenoma,227,Benign neoplasm of other endocrine glands and related structures,Benign Neoplasms,Neoplasms,0
pituitary adenoma,227,Benign neoplasm of other endocrine glands and related structures,Benign Neoplasms,Neoplasms,0
prolactinoma,227,Benign neoplasm of other endocrine glands and related structures,Benign Neoplasms,Neoplasms,0
hemangioma,228,"Hemangioma and lymphangioma, any site",Benign Neoplasms,Neoplasms,0
cystic hygroma,228,"Hemangioma and lymphangioma, any site",Benign Neoplasms,Neoplasms,0
esophagus tumor,235,Neoplasm of uncertain behavior of digestive and respiratory systems,Neoplasms Of Uncertain Behavior,Neoplasms,1
gastrointestinal tumor,235,Neoplasm of uncertain behavior of digestive and respiratory systems,Neoplasms Of Uncertain Behavior,Neoplasms,1
neurofibromatosis,237,Neoplasm of uncertain behavior of endocrine glands and nervous system,Neoplasms Of Uncertain Behavior,Neoplasms,0
neurofibromatosis type i,237,Neoplasm of uncertain behavior of endocrine glands and nervous system,Neoplasms Of Uncertain Behavior,Neoplasms,0
neurofibromatosis type ii,237,Neoplasm of uncertain behavior of endocrine glands and nervous system,Neoplasms Of Uncertain Behavior,Neoplasms,0
myeloproliferative disorder,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
lymphoproliferative disease,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
myelodysplastic syndrome,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
plasmacytoma,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
thrombocythemia,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
gastrointestinal stromal tumor,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,1
post transplant lymphoproliferative disease,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
vascular neoplasm,238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms Of Uncertain Behavior,Neoplasms,0
solid tumor,239,Neoplasms of unspecified nature,Neoplasms Of Unspecified Nature,Neoplasms,1
neoplasm,239,Neoplasms of unspecified nature,Neoplasms Of Unspecified Nature,Neoplasms,0
goiter,240,Simple and unspecified goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
graves disease,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperthyroidism,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
thyroid disease,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
nodular goiter,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
thyroid associated ophthalmopathy,242,Thyrotoxicosis with or without goiter,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hypothyroidism,244,Acquired hypothyroidism,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hashimotos disease,246,Other disorders of thyroid,Disorders Of Thyroid Gland,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetes mellitus,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic cataract,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic complication,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic macroangiopathy,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
skin manifestation,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic foot ulcer,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
insulin dependent diabetes,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
non-insulin dependent diabetes,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic microangiopathy,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
albuminuria,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic macular edema,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic ketoacidosis,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
latent autoimmune adult diabetes,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic gastroparesis,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
diabetic peripheral neuropathy,250,Diabetes mellitus,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperinsulinemia,251,Other disorders of pancreatic internal secretion,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hypoglycemia,251,Other disorders of pancreatic internal secretion,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
pancreas islet disease,251,Other disorders of pancreatic internal secretion,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
zollinger-ellison syndrome,251,Other disorders of pancreatic internal secretion,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperparathyroidism,252,Disorders of parathyroid gland,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hypoparathyroidism,252,Disorders of parathyroid gland,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
acromegaly,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
growth disorder,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperprolactinemia,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
pituitary disease,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
amenorrhea,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
gigantism,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
dwarfism,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
wolfram syndrome,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
inappropriate adh syndrome,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
growth hormone deficiency,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
female hypogonadism,253,Disorders of the pituitary gland and its hypothalamic control,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
addisons disease,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
cushings disease,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperaldosteronism,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
adrenal disease,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
adrenal gland hypofunction,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
congenital adrenal hyperplasia,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
nelson syndrome,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hyperandrogenism,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
cushings syndrome,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hormone deficiency,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
gonadal disease,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
ovary disease,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
premature ovarian failure,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
ovarian hyperstimulation syndrome,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
fetal growth restriction,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hypogonadism,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
testicular disease,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
male hypogonadism,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
multiple endocrine neoplasia,258,Polyglandular dysfunction and related disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
endocrine disease,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
estrogen deficiency,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
aging,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
precocious puberty,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
andrology,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
werner syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
laron syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
testosterone deficiency,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
carcinoid syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hutchinson gilford progeria syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
malnutrition,260,Kwashiorkor,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
nutritional disorder,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
protein energy deficiency,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
xerophthalmia,267,Ascorbic acid deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
rickets,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
osteomalacia,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
vitamin e deficiency,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
vitamin d deficiency,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
vitamin k deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
ocular disease,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
phenylketonuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
acidemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
ornithine transcarbamylase deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
methylmalonic acidemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
hermansky-pudlak syndrome,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
cystinuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
citrullinuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
albinism,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
type i tyrosinemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
n-acetylglutamate synthase deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",0
