cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
aging,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
precocious puberty,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
andrology,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
werner syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
laron syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
testosterone deficiency,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
carcinoid syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hutchinson gilford progeria syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hormone metabolism disorder,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
endocrine development disorder,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
delayed puberty,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
androgen insensitivity syndrome,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
kwashiorkor,260,Kwashiorkor,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
malnutrition,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
nutritional disorder,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
protein energy deficiency,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
protein deficiency,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
xerophthalmia,264,Vitamin A deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
thiamine deficiency,265,Thiamine and niacin deficiency states,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
beriberi,265,Thiamine and niacin deficiency states,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
choline deficiency,266,Deficiency of B-complex components,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin b6 deficiency,266,Deficiency of B-complex components,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin b deficiency,266,Deficiency of B-complex components,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin c deficiency,267,Ascorbic acid deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
rickets,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
osteomalacia,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin d deficiency,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin e deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin k deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
vitamin deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
nutritional deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
iodine deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypozincemia,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
essential fatty acid deficiency,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
phenylketonuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
acidemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
ornithine transcarbamylase deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
methylmalonic acidemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hermansky-pudlak syndrome,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cystinuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
citrullinuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
albinism,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
type i tyrosinemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
n-acetylglutamate synthase deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperammonemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
homocystinuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
nephropathic cystinosis,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
ocular cystinosis,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
alkaptonuria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
carbamoyl phosphate synthase i deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
glutaric aciduria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cystinosis,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
methylmalonicaciduria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
tyrosinemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
propionic acidemia,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
maple syrup urine disease,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fanconi-bickel disease,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
carbamoyl phosphate synthase deficiency,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
aminoaciduria,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
amino acid metabolism disorder,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
amino acid and protein metabolism disorder,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
carbohydrate metabolism disorder,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
glycogen storage disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
storage disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperoxaluria,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
pompes disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
andersen disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
galactosemia,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lactose intolerance,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
sucrase isomaltase deficiency,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
glycogen storage disease 1a,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
coris disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
von gierkes disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
pyruvate carboxylase deficiency,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mcardle disease,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
glycogen storage disease 1b,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fucosidosis,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fructose metabolism disorder,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fructose intolerance,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
alpha mannosidosis,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
gaucher disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypercholesterolemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipidemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
niemann pick disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cholesterol metabolism disorder,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipid metabolism disorder,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lysosome storage disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fabry disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
proteinosis,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lecithin cholesterol acetyltransferase deficiency,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypertriglyceridemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
gauchers disease type i,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
gauchers disease type iii,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
sitosterolemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipoprotein lipase deficiency,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipodystrophy,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
niemann pick disease type b,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
niemann pick disease type c1,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
familial hypercholesterolemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cerebrotendinous xanthomatosis,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cholesteryl ester storage disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type i,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type iii,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
niemann pick disease type c,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lysosomal acid lipase deficiency,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypoalphalipoproteinemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
wolman disease,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
xanthomatosis,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
niemann pick disease type c2,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mucolipidosis type ii,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mucolipidosis,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipoprotein metabolism disorder,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipoprotein deficiency,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lipid storage diseases,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypolipidemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type v,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type iv,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type iib,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperlipoproteinemia type ii,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
gauchers disease type ii,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
familial lcat deficiency,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
bassen kornsweig syndrome,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
adiposis dolorosa,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
abetalipoproteinemia,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
macroglobulinemia,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
alpha-1 antitrypsin deficiency,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
paraproteinemia,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cryoglobulinemia,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypoalbuminemia,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
poems syndrome,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
protein metabolism disorder,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
plasma cell dyscrasia,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
gout,274,Gout,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypercalcemia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypocalcemia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperphosphatemia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
calcium metabolism disorder,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
iron metabolism disorder,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
iron overload,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypophosphatemia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hemochromatosis,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
calciphylaxis,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
wilson disease,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
copper metabolism disorder,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
x linked dominant hypophosphatemic rickets,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypophosphatasia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
pseudohypoaldosteronism,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
nephrocalcinosis,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mineral metabolism disorder,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
magnesium metabolism disorder,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypomagnesemia,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
calcinosis,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
acidosis,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyponatremia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypovolemia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperkalemia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypernatremia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lactic acidosis,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypokalemia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hypervolemia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperchloremia,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
electrolyte metabolism disorder,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
alkalosis,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
acid base imbalance,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
fatty acid oxidation disorder,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
cystic fibrosis,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hereditary angioedema,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hyperbilirubinemia,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
lesch nyhan syndrome,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
inborn error of metabolism,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
metabolic disorder,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
amyloidosis,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
progestogen deficiency,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
syndrome x,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
adrenoleukodystrophy,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mucopolysaccharidosis,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
mucopolysaccharidosis type i,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
hurler syndrome,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",
