DrugID|Name|Code
82218|HUMAN INSULINS AND ANALOGUES|A10C
82218|Human insulins and analogues, long-acting|A10C5
82204|ANALGESICS|N2
82197|CENTRAL NERVOUS SYSTEM|N
82196|ANTIVIRALS FOR SYSTEMIC USE|J5
82193|ANTIVIRALS FOR SYSTEMIC USE|J5
82189|DRUGS USED IN DIABETES|A10
82188|OESTROGENS, EXCLUDING G3A, G3E, G3F|G3C
82188|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
82187|ANALGESICS|N2
82184|ANTI-EPILEPTICS|N3
82184|NOOTROPICS|N6D
82183|ANTI-EPILEPTICS|N3
82182|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
82182|PARASITOLOGY|P
82178|ANALGESICS|N2
82178|ANTI-EPILEPTICS|N3
82175|CARDIOVASCULAR SYSTEM|C
82162|DERMATOLOGICALS|D
82160|ANTIVIRALS FOR SYSTEMIC USE|J5
82151|DRUGS USED IN DIABETES|A10
82148|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
82143|ANTIVIRALS FOR SYSTEMIC USE|J5
82141|PLATELET AGGREGATION INHIBITORS|B1C
82140|PLATELET AGGREGATION INHIBITORS|B1C
82134|GROWTH HORMONES|H4C
82126|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
82122|SYSTEMIC ANTIBACTERIALS|J1
82118|PLATELET AGGREGATION INHIBITORS|B1C
82116|ANTIVIRALS FOR SYSTEMIC USE|J5
82100|DRUGS USED IN DIABETES|A10
82098|ANTIVIRALS FOR SYSTEMIC USE|J5
82097|ANTIVIRALS FOR SYSTEMIC USE|J5
82095|SYSTEMIC ANTIBACTERIALS|J1
82091|SYSTEMIC ANTIBACTERIALS|J1
82088|ANALGESICS|N2
82074|ANALGESICS|N2
82070|PLATELET AGGREGATION INHIBITORS|B1C
82070|CARDIOVASCULAR SYSTEM|C
82068|ANALGESICS|N2
82064|SYSTEMIC ANTIBACTERIALS|J1
82063|WOUND HEALING AGENTS|D3
82062|SYSTEMIC ANTIBACTERIALS|J1
82061|DERMATOLOGICALS|D
82060|ANTIVIRALS FOR SYSTEMIC USE|J5
82059|RESPIRATORY SYSTEM|R
82056|ANDROGENS, EXCLUDING G3E, G3F|G3B
82050|WHOLE BLOOD AND PLASMA SUBSTITUTE SOLUTIONS|K3
82049|FIBRINOLYTICS|B1D
82047|ANTIVIRALS FOR SYSTEMIC USE|J5
82047|INTERFERONS|L3B
82044|CENTRAL NERVOUS SYSTEM|N
82042|ANTIVIRALS FOR SYSTEMIC USE|J5
82040|ANTI-EPILEPTICS|N3A
82035|ANTIVIRALS FOR SYSTEMIC USE|J5
82032|CARDIOVASCULAR SYSTEM|C
82032|Statins (HMG-CoA reductase inhibitors)|C10A1
82031|IMMUNOSTIMULATING AGENTS|L3
82029|SYSTEMIC ANTIBACTERIALS|J1
82028|CARDIOVASCULAR SYSTEM|C
82028|Statins (HMG-CoA reductase inhibitors)|C10A1
82026|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
82026|SRNI antidepressants|N6A5
82024|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
82024|SRNI antidepressants|N6A5
82023|IMMUNOSUPPRESSIVE AGENTS|L4
82019|TRANQUILLISERS|N5C
82019|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
82019|SSRI antidepressants|N6A4
82019|SRNI antidepressants|N6A5
82018|ANTIEMETICS AND ANTINAUSEANTS|A4
82016|SYSTEMIC ANTIBACTERIALS|J1
82015|CARDIOVASCULAR SYSTEM|C
82008|ANTIVIRALS FOR SYSTEMIC USE|J5
82006|WOUND HEALING AGENTS|D3
82006|SYSTEMIC ANTIBACTERIALS|J1
82005|DPP-IV inhibitor antidiabetics|A10B6
82000|SYSTEMIC ANTIBACTERIALS|J1
81998|CALCIUM ANTAGONISTS|C8
81994|ANTIVIRALS FOR SYSTEMIC USE|J5
81993|ANTIVIRALS FOR SYSTEMIC USE|J5
81992|WHOLE BLOOD AND PLASMA SUBSTITUTE SOLUTIONS|K3
81991|OPHTHALMOLOGICALS|S1
81988|OPHTHALMOLOGICALS|S1
81988|MIOTICS AND ANTIGLAUCOMA PREPARATIONS|S1E
81988|Ocular antineovascularisation products|S1P
81987|ANDROGENS, EXCLUDING G3E, G3F|G3B
81985|ANTIMETABOLITES|L1B
81980|ANTIVIRALS FOR SYSTEMIC USE|J5
81979|ANTIVIRALS FOR SYSTEMIC USE|J5
81961|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81959|WOUND HEALING AGENTS|D3
81954|DERMATOLOGICALS|D
81951|IMMUNOSTIMULATING AGENTS|L3
81945|Factor VIII|B2D1
81944|ANTIHYPERTENSIVES|C2
81942|ANTIVIRALS FOR SYSTEMIC USE|J5
81937|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81935|ANTIPSYCHOTICS|N5A
81934|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81924|B2-STIMULANTS|R3A
81921|SYSTEMIC ANTIBACTERIALS|J1
81920|ANTIVIRALS FOR SYSTEMIC USE|J5
81918|Factor VIII|B2D1
81917|SYSTEMIC ANTIBACTERIALS|J1
81916|IMMUNOSTIMULATING AGENTS|L3
81914|WHOLE BLOOD AND PLASMA SUBSTITUTE SOLUTIONS|K3
81913|OPHTHALMOLOGICALS|S1
81907|ANTIPSYCHOTICS|N5A
81905|ANTIVIRALS FOR SYSTEMIC USE|J5
81903|OPHTHALMOLOGICALS|S1
81889|MUSCULO-SKELETAL SYSTEM|M
81882|SYSTEMIC ANTIBACTERIALS|J1
81878|ANTIVIRALS FOR SYSTEMIC USE|J5
81878|IMMUNOSTIMULATING AGENTS|L3
81877|RESPIRATORY SYSTEM|R
81874|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81873|SYSTEMIC ANTIBACTERIALS|J1
81872|SYSTEMIC ANTIBACTERIALS|J1
81871|SYSTEMIC ANTIBACTERIALS|J1
81867|CARDIOVASCULAR SYSTEM|C
81867|ANTIHYPERTENSIVES|C2
81865|ANTIVIRALS FOR SYSTEMIC USE|J5
81864|Factor VIII|B2D1
81863|ANTIVIRALS FOR SYSTEMIC USE|J5
81862|ANTIVIRALS FOR SYSTEMIC USE|J5
81855|SYSTEMIC ANTIBACTERIALS|J1
81855|IMMUNOSTIMULATING AGENTS|L3
81854|ANTIVIRALS FOR SYSTEMIC USE|J5
81852|ANTIHYPERTENSIVES|C2
81850|PARASITOLOGY|P
81849|GASTROPROKINETICS|A3F
81849|LAXATIVES|A6
81846|ANTI-EPILEPTICS|N3A
81835|PARASITOLOGY|P
81834|PARASITOLOGY|P
81828|CEPHALOSPORINS|J1D
81827|ANTIVIRALS FOR SYSTEMIC USE|J5
81826|SYSTEMIC ANTIBACTERIALS|J1
81824|SYSTEMIC ANTIBACTERIALS|J1
81821|ANTIVIRALS FOR SYSTEMIC USE|J5
81821|INTERFERONS|L3B
81816|ALKYLATING AGENTS|L1A
81815|DRUGS USED IN DIABETES|A10
81814|CALCIUM ANTAGONISTS|C8
81812|ALKYLATING AGENTS|L1A
81811|ANTIVIRALS FOR SYSTEMIC USE|J5
81810|CARDIOVASCULAR SYSTEM|C
81804|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
81800|ANTIVIRALS FOR SYSTEMIC USE|J5
81796|ANTI-ARRHYTHMICS|C1B
81795|Biguanide antidiabetics|A10B2
81794|ANTIHYPERTENSIVES|C2
81794|ANGIOTENSIN-II ANTAGONISTS, PLAIN|C9C
81794|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81794|Statins (HMG-CoA reductase inhibitors)|C10A1
81793|PLATELET AGGREGATION INHIBITORS|B1C
81793|CARDIOVASCULAR SYSTEM|C
81789|IMMUNOSTIMULATING AGENTS|L3
81788|ANTIHYPERTENSIVES|C2
81785|ANTIPSYCHOTICS|N5A
81784|MRI AGENTS|T1E
81784|RADIODIAGNOSTIC AGENTS|T1G
81782|ANTIVIRALS FOR SYSTEMIC USE|J5
81778|OPHTHALMOLOGICALS|S1
81777|Antigrowth hormones|H1C2
81775|ACTH|H1A
81775|ANTI-EPILEPTICS|N3
81773|CENTRAL NERVOUS SYSTEM|N
81767|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81759|ANTIVIRALS FOR SYSTEMIC USE|J5
81758|PLATELET AGGREGATION INHIBITORS|B1C
81758|CARDIOVASCULAR SYSTEM|C
81754|ANTI-ACNE PREPARATIONS|D10
81751|MUSCLE RELAXANTS|M3
81749|ANALGESICS|N2
81733|ANTIHYPERTENSIVES|C2
81732|Human insulins and analogues, long-acting|A10C5
81731|RESPIRATORY SYSTEM|R
81730|RESPIRATORY SYSTEM|R
81729|SYSTEMIC ANTIBACTERIALS|J1
81727|IMMUNOSUPPRESSIVE AGENTS|L4
81726|ANTIHYPERTENSIVES|C2
81726|ANGIOTENSIN-II ANTAGONISTS, PLAIN|C9C
81726|CHOLESTEROL AND TRIGLYCERIDE REDUCTION PREPARATIONS|C10A
81726|Statins (HMG-CoA reductase inhibitors)|C10A1
81724|ANTIVIRALS FOR SYSTEMIC USE|J5
81717|RADIODIAGNOSTIC AGENTS|T1G
81715|ANALGESICS|N2
81714|RADIODIAGNOSTIC AGENTS|T1G
81712|BPH (benign prostatic hypertrophy) products |G4C
81711|ANTIVIRALS FOR SYSTEMIC USE|J5
81711|IMMUNOSTIMULATING AGENTS|L3
81710|WHOLE BLOOD AND PLASMA SUBSTITUTE SOLUTIONS|K3
81708|SYSTEMIC ANTIBACTERIALS|J1
81704|DRUGS USED IN DIABETES|A10
81704|HUMAN INSULINS AND ANALOGUES|A10C
81704|Human insulins and analogues, long-acting|A10C5
81703|IMMUNOSTIMULATING AGENTS|L3
81702|ANTIVIRALS FOR SYSTEMIC USE|J5
81702|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
81698|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81697|DRUGS USED IN DIABETES|A10
81696|ANTIPSYCHOTICS|N5A
81696|NOOTROPICS|N6D
81695|AMINOGLYCOSIDES|J1K
81694|PSYCHOSTIMULANTS|N6B
81691|DERMATOLOGICALS|D
81685|SYSTEMIC ANTIBACTERIALS|J1
81685|ANTIVIRALS FOR SYSTEMIC USE|J5
81684|CARDIOVASCULAR SYSTEM|C
81681|MACROLIDES AND SIMILAR TYPES|J1F
81680|MUSCLE RELAXANTS|M3
81679|DERMATOLOGICALS|D
81679|SYSTEMIC ANTIPSORIASIS PRODUCTS|D5B
81679|ANTIVIRALS FOR SYSTEMIC USE|J5
81678|RADIODIAGNOSTIC AGENTS|T1G
81673|CENTRAL NERVOUS SYSTEM|N
81673|RADIODIAGNOSTIC AGENTS|T1G
81671|RADIODIAGNOSTIC AGENTS|T1G
81670|ALKYLATING AGENTS|L1A
81667|Interferons, gamma|L3B3
81666|Interferons, beta|L3B2
81665|MACROLIDES AND SIMILAR TYPES|J1F
81662|GROWTH HORMONES|H4C
81661|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81652|ANTI-EPILEPTICS|N3
81651|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81650|SYSTEMIC ANTIPSORIASIS PRODUCTS|D5B
81650|IMMUNOSUPPRESSIVE AGENTS|L4
81648|ANTIVIRALS FOR SYSTEMIC USE|J5
81646|Vitamin K|B2B1
81637|CENTRAL NERVOUS SYSTEM|N
81637|NOOTROPICS|N6D
81635|SYSTEMIC ANTIBACTERIALS|J1
81634|ANTI-EPILEPTICS|N3
81631|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81629|ANTI-EPILEPTICS|N3A
81629|NOOTROPICS|N6D
81627|ANTI-EPILEPTICS|N3
81625|SYSTEMIC ANTIBACTERIALS|J1
81624|ANTIVIRALS FOR SYSTEMIC USE|J5
81621|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81619|ANALGESICS|N2
81618|ANALGESICS|N2
81609|FIBRINOLYTICS|B1D
81605|CARDIOVASCULAR SYSTEM|C
81605|ANTIHYPERTENSIVES|C2
81602|MACROLIDES AND SIMILAR TYPES|J1F
81602|RESPIRATORY SYSTEM|R
81596|PARASITOLOGY|P
81592|SYSTEMIC ANTIBACTERIALS|J1
81591|GROWTH HORMONES|H4C
81590|RESPIRATORY SYSTEM|R
81588|ANTIVIRALS FOR SYSTEMIC USE|J5
81587|DRUGS USED IN DIABETES|A10
81587|HUMAN INSULINS AND ANALOGUES|A10C
81587|Human insulins and analogues, long-acting|A10C5
81583|ANTIHYPERTENSIVES|C2
81583|ACE INHIBITORS, PLAIN|C9A
81579|ANTIVIRALS FOR SYSTEMIC USE|J5
81578|ANTIVIRALS FOR SYSTEMIC USE|J5
81575|ANTIVIRALS FOR SYSTEMIC USE|J5
81573|Urinary incontinence products|G4B4
81567|NOOTROPICS|N6D
81567|Anti-Alzheimer products, cholinesterase inhibitors|N7D1
81566|ANTIEMETICS AND ANTINAUSEANTS|A4
81563|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
81562|ANALGESICS|N2
81560|NOOTROPICS|N6D
81559|ANALGESICS|N2
81553|SYSTEMIC ANTIBACTERIALS|J1
81552|B2-STIMULANTS|R3A
81550|ANTIVIRALS FOR SYSTEMIC USE|J5
81545|SYSTEMIC ANTIBACTERIALS|J1
81545|ANTIVIRALS FOR SYSTEMIC USE|J5
81545|IMMUNOSTIMULATING AGENTS|L3
81537|ANALGESICS|N2
81536|ANTIPSYCHOTICS|N5A
81536|NOOTROPICS|N6D
81535|ANTIVIRALS FOR SYSTEMIC USE|J5
81534|ANTIVIRALS FOR SYSTEMIC USE|J5
81533|SYSTEMIC ANTIBACTERIALS|J1
81533|AMINOGLYCOSIDES|J1K
81531|ANALGESICS|N2
81530|NOOTROPICS|N6D
81525|ANALGESICS|N2
81523|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
81508|ANTI-EPILEPTICS|N3A
81505|IMMUNOSTIMULATING AGENTS|L3
81494|ANALGESICS|N2
81492|ANTIVIRALS FOR SYSTEMIC USE|J5
81488|ANTIVIRALS FOR SYSTEMIC USE|J5
81486|ANTIVIRALS FOR SYSTEMIC USE|J5
81481|ANTIPSYCHOTICS|N5A
81478|ANALGESICS|N2
81475|ANALGESICS|N2
81473|SYSTEMIC ANTIBACTERIALS|J1
81472|SYSTEMIC ANTIBACTERIALS|J1
81471|ANTIHYPERTENSIVES|C2
81469|ANTIVIRALS FOR SYSTEMIC USE|J5
81466|SYSTEMIC ANTIBACTERIALS|J1
81464|ANTIVIRALS FOR SYSTEMIC USE|J5
81459|ANTIVIRALS FOR SYSTEMIC USE|J5
81458|ANTIVIRALS FOR SYSTEMIC USE|J5
81456|MUSCULO-SKELETAL SYSTEM|M
81448|ANTIMETABOLITES|L1B
81445|ANTIVIRALS FOR SYSTEMIC USE|J5
81443|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81442|ANTIPSYCHOTICS|N5A
81440|ANALGESICS|N2
81439|ANALGESICS|N2
81438|ANTIVIRALS FOR SYSTEMIC USE|J5
81436|ANTIEMETICS AND ANTINAUSEANTS|A4
81434|MUSCLE RELAXANTS|M3
81433|ANTIVIRALS FOR SYSTEMIC USE|J5
81431|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81428|PARASITOLOGY|P
81428|AMOEBICIDES|P1A
81426|SYSTEMIC ANTIBACTERIALS|J1
81425|OPHTHALMOLOGICALS|S1
81424|OPHTHALMOLOGICALS|S1
81422|PARASITOLOGY|P
81422|AMOEBICIDES|P1A
81421|PARASITOLOGY|P
81421|ANTIPROTOZOALS AND ANTHELMINTICS|P1
81419|ANALGESICS|N2
81418|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81417|CARDIOVASCULAR SYSTEM|C
81417|CENTRAL NERVOUS SYSTEM|N
81413|IMMUNOSUPPRESSIVE AGENTS|L4
81410|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81402|ANALGESICS|N2
81400|ANTIVIRALS FOR SYSTEMIC USE|J5
81397|NOOTROPICS|N6D
81395|TRANQUILLISERS|N5C
81394|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
81392|SYSTEMIC ANTIBACTERIALS|J1
81391|ANTIVIRALS FOR SYSTEMIC USE|J5
81388|ANTIVIRALS FOR SYSTEMIC USE|J5
81388|ANTITUSSIVES|R5D
81387|IMMUNOSUPPRESSIVE AGENTS|L4
81386|IMMUNOSUPPRESSIVE AGENTS|L4
81385|VACCINES|J7
81380|BPH (benign prostatic hypertrophy) products |G4C
81379|VACCINES|J7
81377|VACCINES|J7
81374|RESPIRATORY SYSTEM|R
81373|DRUGS USED IN DIABETES|A10
81372|ANALGESICS|N2
81367|ANTIVIRALS FOR SYSTEMIC USE|J5
81367|VACCINES|J7
81366|ANTI-ARRHYTHMICS|C1B
81362|B2-STIMULANTS|R3A
81361|ANALGESICS|N2
81359|VACCINES|J7
81355|ANTI-EPILEPTICS|N3A
81354|ANTI-EPILEPTICS|N3A
81351|VACCINES|J7
81350|VACCINES|J7
81347|VACCINES|J7
81346|VACCINES|J7
81344|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81344|CARDIOVASCULAR SYSTEM|C
81342|ANTIVIRALS FOR SYSTEMIC USE|J5
81340|ANTIVIRALS FOR SYSTEMIC USE|J5
81340|DIAGNOSTIC AGENTS|T
81332|DRUGS USED IN DIABETES|A10
81319|Ocular antineovascularisation products|S1P
81315|ANTIPROTOZOALS AND ANTHELMINTICS|P1
81315|ANTI-MALARIALS|P1D
81314|DRUGS USED IN DIABETES|A10
81313|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81308|ANTIVIRALS FOR SYSTEMIC USE|J5
81290|ANTIPSYCHOTICS|N5A
81289|SYSTEMIC ANTIBACTERIALS|J1
81287|FIBRINOLYTICS|B1D
81283|IMMUNOSUPPRESSIVE AGENTS|L4
81275|CARDIOVASCULAR SYSTEM|C
81274|DRUGS USED IN DIABETES|A10
81274|HUMAN INSULINS AND ANALOGUES|A10C
81274|Human insulins and analogues, intermediate-acting|A10C2
81273|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81272|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81271|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81270|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81264|SYSTEMIC ANTIBACTERIALS|J1
81264|ANTIVIRALS FOR SYSTEMIC USE|J5
81263|FIBRINOLYTICS|B1D
81262|ANTI-EPILEPTICS|N3
81259|CENTRAL NERVOUS SYSTEM|N
81259|TRANQUILLISERS|N5C
81258|TRANQUILLISERS|N5C
81258|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
81257|ANTIVIRALS FOR SYSTEMIC USE|J5
81255|DRUGS USED IN DIABETES|A10
81255|HUMAN INSULINS AND ANALOGUES|A10C
81255|Human insulins and analogues, intermediate-acting|A10C2
81249|OPHTHALMOLOGICALS|S1
81246|NOOTROPICS|N6D
81240|ANTIVIRALS FOR SYSTEMIC USE|J5
81231|SYSTEMIC ANTIBACTERIALS|J1
81223|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81221|ANTIVIRALS FOR SYSTEMIC USE|J5
81218|ANTI-ARRHYTHMICS|C1B
81211|SYSTEMIC ANTIBACTERIALS|J1
81210|VACCINES|J7
81209|SYSTEMIC ANTIBACTERIALS|J1
81202|DRUGS USED IN DIABETES|A10
81201|SYSTEMIC ANTIBACTERIALS|J1
81200|DPP-IV inhibitor antidiabetics|A10B6
81197|ANALGESICS|N2
81197|ANTI-MIGRAINE PREPARATIONS|N2C
81196|DRUGS USED IN DIABETES|A10
81188|ANTI-EPILEPTICS|N3A
81186|ANALGESICS|N2
81184|SYSTEMIC ANTIBACTERIALS|J1
81182|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81181|SYSTEMIC ANTIBACTERIALS|J1
81179|CARDIOVASCULAR SYSTEM|C
81174|SYSTEMIC ANTIBACTERIALS|J1
81171|DRUGS USED IN DIABETES|A10
81168|SYSTEMIC ANTIBACTERIALS|J1
81166|ANTIHYPERTENSIVES|C2
81164|SYSTEMIC ANTIBACTERIALS|J1
81163|ANALGESICS|N2
81162|ANALGESICS|N2
81162|SSRI antidepressants|N6A4
81162|SRNI antidepressants|N6A5
81161|CARDIOVASCULAR SYSTEM|C
81161|ANALGESICS|N2
81157|SYSTEMIC ANTIBACTERIALS|J1
81156|ANALGESICS|N2
81155|ANALGESICS|N2
81154|ANTIHYPERTENSIVES|C2
81153|ANALGESICS|N2
81152|ANALGESICS|N2
81142|ANTI-MALARIALS|P1D
81141|SYSTEMIC ANTIBACTERIALS|J1
81139|ANTIVIRALS FOR SYSTEMIC USE|J5
81138|ANTI-MALARIALS|P1D
81136|ANTIVIRALS FOR SYSTEMIC USE|J5
81135|NOOTROPICS|N6D
81133|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81132|ANTI-EPILEPTICS|N3A
81130|CARDIOVASCULAR SYSTEM|C
81123|SYSTEMIC ANTIBACTERIALS|J1
81122|SYSTEMIC ANTIBACTERIALS|J1
81117|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81111|B2-STIMULANTS|R3A
81108|OPHTHALMOLOGICALS|S1
81101|MUSCULO-SKELETAL SYSTEM|M
81099|ANTI-MIGRAINE PREPARATIONS|N2C
81097|SYSTEMIC ANTIBACTERIALS|J1
81096|SYSTEMIC ANTIBACTERIALS|J1
81091|ANALGESICS|N2
81091|ANTI-MIGRAINE PREPARATIONS|N2C
81088|ANALGESICS|N2
81087|ANALGESICS|N2
81083|IMMUNOSTIMULATING AGENTS|L3
81082|RESPIRATORY SYSTEM|R
81081|OPHTHALMOLOGICALS|S1
81080|OPHTHALMOLOGICALS|S1
81077|ANTI-EPILEPTICS|N3A
81071|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81065|ANTIVIRALS FOR SYSTEMIC USE|J5
81060|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81058|SYSTEMIC ANTIBACTERIALS|J1
81057|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
81056|ANTIVIRALS FOR SYSTEMIC USE|J5
81055|ANTIHYPERTENSIVES|C2
81054|ANTIHYPERTENSIVES|C2
81053|ANTIVIRALS FOR SYSTEMIC USE|J5
81051|CENTRAL NERVOUS SYSTEM|N
81049|ANTIVIRALS FOR SYSTEMIC USE|J5
81048|ANTIVIRALS FOR SYSTEMIC USE|J5
81047|CENTRAL NERVOUS SYSTEM|N
81044|RESPIRATORY SYSTEM|R
81043|RESPIRATORY SYSTEM|R
81040|Interferons, alpha|L3B1
81038|HUMAN INSULINS AND ANALOGUES|A10C
81038|Human insulins and analogues, intermediate-acting|A10C2
81037|SYSTEMIC ANTIBACTERIALS|J1
81034|ANGIOTENSIN-II ANTAGONISTS, PLAIN|C9C
81030|Human insulins and analogues, fast-acting|A10C1
81028|Interferons, beta|L3B2
81027|Interferons, beta|L3B2
81021|ANTIVIRALS FOR SYSTEMIC USE|J5
81020|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
81020|ANTIVIRALS FOR SYSTEMIC USE|J5
81016|DRUGS USED IN DIABETES|A10
81014|ANTI-ACNE PREPARATIONS|D10
81013|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
81012|ANTACIDS, ANTIFLATULENTS, CARMINATIVES|A2A
81012|ANTIULCERANTS|A2B
81008|SYSTEMIC ANTIBACTERIALS|J1
81003|DERMATOLOGICALS|D
81003|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
81002|DERMATOLOGICALS|D
81001|SYSTEMIC ANTIBACTERIALS|J1
81000|SYSTEMIC ANTIBACTERIALS|J1
81000|VACCINES|J7
80999|RESPIRATORY SYSTEM|R
80996|PLATELET AGGREGATION INHIBITORS|B1C
80996|CARDIOVASCULAR SYSTEM|C
80996|ACE INHIBITORS, PLAIN|C9A
80996|Statins (HMG-CoA reductase inhibitors)|C10A1
80992|MRI AGENTS|T1E
80992|ULTRASOUND AGENTS|T1F
80992|RADIODIAGNOSTIC AGENTS|T1G
80987|ANTIVIRALS FOR SYSTEMIC USE|J5
80987|Interferons, alpha|L3B1
80984|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
80981|RADIODIAGNOSTIC AGENTS|T1G
80980|IMMUNOSUPPRESSIVE AGENTS|L4
80977|ANALGESICS|N2
80974|ANALGESICS|N2
80973|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
80970|CARDIOVASCULAR SYSTEM|C
80969|VACCINES|J7
80961|ANTIVIRALS FOR SYSTEMIC USE|J5
80959|ANTI-EPILEPTICS|N3A
80956|IMMUNOSTIMULATING AGENTS|L3
80954|DERMATOLOGICALS|D
80954|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
80952|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
80947|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
80942|SYSTEMIC ANTIBACTERIALS|J1
80936|ANTIVIRALS FOR SYSTEMIC USE|J5
80935|ANTIVIRALS FOR SYSTEMIC USE|J5
80932|CENTRAL NERVOUS SYSTEM|N
80932|RADIODIAGNOSTIC AGENTS|T1G
80931|SYSTEMIC ANTIBACTERIALS|J1
80925|DRUGS USED IN DIABETES|A10
80922|OPHTHALMOLOGICALS|S1
80921|RADIODIAGNOSTIC AGENTS|T1G
80920|ANALGESICS|N2
80919|ANALGESICS|N2
80918|ANALGESICS|N2
80917|SYSTEMIC ANTIBACTERIALS|J1
80916|SYSTEMIC ANTIBACTERIALS|J1
80915|ANTIPSYCHOTICS|N5A
80909|DIRECT THROMBIN INHIBITORS|B1E
80909|CARDIOVASCULAR SYSTEM|C
80908|ANTIVIRALS FOR SYSTEMIC USE|J5
80908|Protease inhibitors|J5C2
80907|DRUGS USED IN DIABETES|A10
80905|DRUGS USED IN DIABETES|A10
80904|Interferons, beta|L3B2
80901|ANTIVIRALS FOR SYSTEMIC USE|J5
80891|Ocular antineovascularisation products|S1P
80890|RADIODIAGNOSTIC AGENTS|T1G
80889|DRUGS USED IN DIABETES|A10
80884|LAXATIVES|A6
80881|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
80880|HYPNOTICS/SEDATIVES|N5B
80879|FIBRINOLYTICS|B1D
80879|CARDIOVASCULAR SYSTEM|C
80878|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
80876|TRANQUILLISERS|N5C
80876|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
80876|SSRI antidepressants|N6A4
80875|FIBRINOLYTICS|B1D
80873|NOOTROPICS|N6D
80872|ANTIVIRALS FOR SYSTEMIC USE|J5
80870|Interferons, beta|L3B2
80869|ANTIMETABOLITES|L1B
80868|Factor VIII|B2D1
80866|ANALGESICS|N2
80865|ANTIVIRALS FOR SYSTEMIC USE|J5
80864|SYSTEMIC ANTIBACTERIALS|J1
80864|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
80864|ANTIVIRALS FOR SYSTEMIC USE|J5
80863|NOOTROPICS|N6D
80859|ANAESTHETICS|N1
80854|DIRECT THROMBIN INHIBITORS|B1E
80853|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
80852|RADIODIAGNOSTIC AGENTS|T1G
80851|ANALGESICS|N2
80850|RADIODIAGNOSTIC AGENTS|T1G
80848|RADIODIAGNOSTIC AGENTS|T1G
80847|ANTIVIRALS FOR SYSTEMIC USE|J5
