indication,icd9,ccs,ccs_label,nccs,cancer
non-insulin dependent diabetes,250,50,Diabetes mellitus with complications,2,0
diabetic microangiopathy,250,50,Diabetes mellitus with complications,2,0
albuminuria,250,50,Diabetes mellitus with complications,2,0
diabetic macular edema,250,50,Diabetes mellitus with complications,2,0
diabetic ketoacidosis,250,50,Diabetes mellitus with complications,2,0
latent autoimmune adult diabetes,250,50,Diabetes mellitus with complications,2,0
diabetic gastroparesis,250,50,Diabetes mellitus with complications,2,0
diabetic peripheral neuropathy,250,50,Diabetes mellitus with complications,2,0
hyperinsulinemia,251,51,Other endocrine disorders,1,0
hypoglycemia,251,51,Other endocrine disorders,1,0
pancreas islet disease,251,51,Other endocrine disorders,1,0
zollinger-ellison syndrome,251,51,Other endocrine disorders,1,0
hyperparathyroidism,252,51,Other endocrine disorders,1,0
hypoparathyroidism,252,51,Other endocrine disorders,1,0
acromegaly,253,51,Other endocrine disorders,1,0
growth disorder,253,51,Other endocrine disorders,1,0
hyperprolactinemia,253,51,Other endocrine disorders,1,0
pituitary disease,253,51,Other endocrine disorders,1,0
amenorrhea,253,51,Other endocrine disorders,1,0
gigantism,253,51,Other endocrine disorders,1,0
dwarfism,253,51,Other endocrine disorders,1,0
wolfram syndrome,253,51,Other endocrine disorders,1,0
inappropriate adh syndrome,253,51,Other endocrine disorders,1,0
growth hormone deficiency,253,51,Other endocrine disorders,1,0
female hypogonadism,253,51,Other endocrine disorders,1,0
addisons disease,255,51,Other endocrine disorders,1,0
cushings disease,255,51,Other endocrine disorders,1,0
hyperaldosteronism,255,51,Other endocrine disorders,1,0
adrenal disease,255,51,Other endocrine disorders,1,0
adrenal gland hypofunction,255,51,Other endocrine disorders,1,0
congenital adrenal hyperplasia,255,51,Other endocrine disorders,1,0
nelson syndrome,255,51,Other endocrine disorders,1,0
hyperandrogenism,255,51,Other endocrine disorders,1,0
cushings syndrome,255,51,Other endocrine disorders,1,0
hormone deficiency,256,51,Other endocrine disorders,2,0
gonadal disease,256,51,Other endocrine disorders,2,0
ovary disease,256,51,Other endocrine disorders,2,0
premature ovarian failure,256,51,Other endocrine disorders,2,0
ovarian hyperstimulation syndrome,256,51,Other endocrine disorders,2,0
fetal growth restriction,256,51,Other endocrine disorders,2,0
hypogonadism,257,51,Other endocrine disorders,1,0
testicular disease,257,51,Other endocrine disorders,1,0
male hypogonadism,257,51,Other endocrine disorders,1,0
multiple endocrine neoplasia,258,51,Other endocrine disorders,2,0
endocrine disease,259,51,Other endocrine disorders,1,0
estrogen deficiency,259,51,Other endocrine disorders,1,0
aging,259,51,Other endocrine disorders,1,0
precocious puberty,259,51,Other endocrine disorders,1,0
andrology,259,51,Other endocrine disorders,1,0
werner syndrome,259,51,Other endocrine disorders,1,0
laron syndrome,259,51,Other endocrine disorders,1,0
testosterone deficiency,259,51,Other endocrine disorders,1,0
carcinoid syndrome,259,51,Other endocrine disorders,1,0
hutchinson gilford progeria syndrome,259,51,Other endocrine disorders,1,0
malnutrition,260,52,Nutritional deficiencies,1,0
nutritional disorder,263,52,Nutritional deficiencies,1,0
protein energy deficiency,263,52,Nutritional deficiencies,1,0
xerophthalmia,267,52,Nutritional deficiencies,1,0
rickets,268,52,Nutritional deficiencies,1,0
osteomalacia,268,52,Nutritional deficiencies,1,0
vitamin e deficiency,268,52,Nutritional deficiencies,1,0
vitamin d deficiency,268,52,Nutritional deficiencies,1,0
vitamin k deficiency,269,52,Nutritional deficiencies,1,0
gaucher disease,272,53,Disorders of lipid metabolism,2,0
hypercholesterolemia,272,53,Disorders of lipid metabolism,2,0
hyperlipidemia,272,53,Disorders of lipid metabolism,2,0
niemann pick disease,272,53,Disorders of lipid metabolism,2,0
cholesterol metabolism disorder,272,53,Disorders of lipid metabolism,2,0
lipid metabolism disorder,272,53,Disorders of lipid metabolism,2,0
lysosome storage disease,272,53,Disorders of lipid metabolism,2,0
fabry disease,272,53,Disorders of lipid metabolism,2,0
hyperlipoproteinemia,272,53,Disorders of lipid metabolism,2,0
proteinosis,272,53,Disorders of lipid metabolism,2,0
lecithin cholesterol acetyltransferase deficiency,272,53,Disorders of lipid metabolism,2,0
hypertriglyceridemia,272,53,Disorders of lipid metabolism,2,0
gauchers disease type i,272,53,Disorders of lipid metabolism,2,0
gauchers disease type iii,272,53,Disorders of lipid metabolism,2,0
sitosterolemia,272,53,Disorders of lipid metabolism,2,0
lipoprotein lipase deficiency,272,53,Disorders of lipid metabolism,2,0
lipodystrophy,272,53,Disorders of lipid metabolism,2,0
hiv-associated lipodystrophy,272,53,Disorders of lipid metabolism,2,0
niemann pick disease type b,272,53,Disorders of lipid metabolism,2,0
niemann pick disease type c1,272,53,Disorders of lipid metabolism,2,0
familial hypercholesterolemia,272,53,Disorders of lipid metabolism,2,0
cerebrotendinous xanthomatosis,272,53,Disorders of lipid metabolism,2,0
cholesteryl ester storage disease,272,53,Disorders of lipid metabolism,2,0
hyperlipoproteinemia type i,272,53,Disorders of lipid metabolism,2,0
hyperlipoproteinemia type iii,272,53,Disorders of lipid metabolism,2,0
niemann pick disease type c,272,53,Disorders of lipid metabolism,2,0
lysosomal acid lipase deficiency,272,53,Disorders of lipid metabolism,2,0
hypoalphalipoproteinemia,272,53,Disorders of lipid metabolism,2,0
wolman disease,272,53,Disorders of lipid metabolism,2,0
gout,274,54,Gout and other crystal arthropathies,1,0
chondrocalcinosis,712,54,Gout and other crystal arthropathies,1,0
acidosis,276,55,Fluid and electrolyte disorders,2,0
hyponatremia,276,55,Fluid and electrolyte disorders,2,0
hypovolemia,276,55,Fluid and electrolyte disorders,2,0
hyperkalemia,276,55,Fluid and electrolyte disorders,2,0
hypernatremia,276,55,Fluid and electrolyte disorders,2,0
autoimmune disease,279,57,Immunity disorders,3,0
immune disorder,279,57,Immunity disorders,3,0
immune deficiency,279,57,Immunity disorders,3,0
autosomal recessive disorder,279,57,Immunity disorders,3,0
graft versus host disease,279,57,Immunity disorders,3,0
wiskott-aldrich syndrome,279,57,Immunity disorders,3,0
agammaglobulinemia,279,57,Immunity disorders,3,0
immunoglobulin g deficiency,279,57,Immunity disorders,3,0
common variable immunodeficiency,279,57,Immunity disorders,3,0
tissue transplantation,279,57,Immunity disorders,3,0
severe combined immunodeficiency syndrome,279,57,Immunity disorders,3,0
hypogammaglobulinemia,279,57,Immunity disorders,3,0
barth syndrome,279,57,Immunity disorders,3,0
ocular disease,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
phenylketonuria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
acidemia,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
ornithine transcarbamylase deficiency,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
methylmalonic acidemia,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
hermansky-pudlak syndrome,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
cystinuria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
citrullinuria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
albinism,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
type i tyrosinemia,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
n-acetylglutamate synthase deficiency,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
hyperammonemia,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
homocystinuria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
nephropathic cystinosis,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
ocular cystinosis,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
alkaptonuria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
fatty acid oxidation disorder,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
carbamoyl phosphate synthase i deficiency,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
glutaric aciduria,270,58,Other nutritional; endocrine; and metabolic disorders,1,0
carbohydrate metabolism disorder,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
glycogen storage disease,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
storage disease,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
hyperoxaluria,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
pompes disease,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
andersen disease,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
alpha mannosidosis,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
galactosemia,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
lactose intolerance,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
sucrase isomaltase deficiency,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
glycogen storage disease 1a,271,58,Other nutritional; endocrine; and metabolic disorders,1,0
macroglobulinemia,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
alpha-1 antitrypsin deficiency,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
lymphoplasmacytoid lymphoma,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
paraproteinemia,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
cryoglobulinemia,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypoalbuminemia,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypogelsolinemia,273,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypercalcemia,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypocalcemia,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
hyperphosphatemia,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
calcium metabolism disorder,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
iron metabolism disorder,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
iron overload,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypophosphatemia,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
hemochromatosis,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
calciphylaxis,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
wilson disease,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
copper metabolism disorder,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
x linked dominant hypophosphatemic rickets,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
hypophosphatasia,275,58,Other nutritional; endocrine; and metabolic disorders,1,0
cystic fibrosis,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
hereditary angioedema,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
hyperbilirubinemia,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
lesch nyhan syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
inborn error of metabolism,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
metabolic disorder,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
x-linked genetic disorder,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
amyloidosis,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
progestogen deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
syndrome x,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
adrenoleukodystrophy,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
mucopolysaccharidosis,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
mucopolysaccharidosis type i,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
hurler syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
hunter syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
sanfilippo syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
morquio syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
maroteaux-lamy syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
sly syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
enzyme deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
crigler-najjar syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
adenosine deaminase deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
insulin resistance,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
mitochondrial disease,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
mitochondrial encephalomyopathy,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
melas syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
hepatic porphyria,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
tumor lysis syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
acute intermittent porphyria,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
adrenomyeloneuropathy,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
multiple organ failure,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
cerebral amyloid angiopathy,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
muckle wells syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
familial mediterranean fever,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
metabolic syndrome x,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
familial amyloid neuropathy,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
al amyloidosis,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
carnitine palmitoyltransferase deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
molybdenum cofactor deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
familial cold autoinflammatory syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
cinca syndrome,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
erythropoietic protoporphyria,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
choline deficiency,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
familial dysautonomia,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
histiocytosis,277,58,Other nutritional; endocrine; and metabolic disorders,3,0
obesity,278,58,Other nutritional; endocrine; and metabolic disorders,1,0
weight loss,783,58,Other nutritional; endocrine; and metabolic disorders,2,0
hemolytic anemia,280,59,Deficiency and other anemia,1,0
henoch schonlein purpura,280,59,Deficiency and other anemia,1,0
iron deficiency anemia,280,59,Deficiency and other anemia,1,0
anemia,281,59,Deficiency and other anemia,1,0
folic acid deficiency,281,59,Deficiency and other anemia,1,0
vitamin b12 deficiency,281,59,Deficiency and other anemia,1,0
pernicious anemia,281,59,Deficiency and other anemia,1,0
sickle cell anemia,282,59,Deficiency and other anemia,2,0
thalassemia,282,59,Deficiency and other anemia,2,0
hemoglobinopathy,282,59,Deficiency and other anemia,2,0
beta thalassemia,282,59,Deficiency and other anemia,2,0
thalassemia intermedia,282,59,Deficiency and other anemia,2,0
thalassemia major,282,59,Deficiency and other anemia,2,0
sickle cell crisis,282,59,Deficiency and other anemia,2,0
persistent pulmonary hypertension of the newborn,282,59,Deficiency and other anemia,2,0
sickle beta 0 thalassemia,282,59,Deficiency and other anemia,2,0
hemolytic uremic syndrome,283,59,Deficiency and other anemia,1,0
plasmodium falciparum infection,283,59,Deficiency and other anemia,1,0
plasmodium infection,283,59,Deficiency and other anemia,1,0
paroxysmal nocturnal hemoglobinuria,283,59,Deficiency and other anemia,1,0
autoimmune hemolytic anemia,283,59,Deficiency and other anemia,1,0
cold agglutinin disease,283,59,Deficiency and other anemia,1,0
bone marrow failure,284,59,Deficiency and other anemia,1,0
parvovirus infection,284,59,Deficiency and other anemia,1,0
aplastic anemia,284,59,Deficiency and other anemia,1,0
pancytopenia,284,59,Deficiency and other anemia,1,0
fanconi anemia,284,59,Deficiency and other anemia,1,0
diamond blackfan anemia,284,59,Deficiency and other anemia,1,0
cardiotoxicity drug-induced,285,59,Deficiency and other anemia,3,0
blood clotting disorder,286,62,Coagulation and hemorrhagic disorders,1,0
disseminated intravascular coagulation,286,62,Coagulation and hemorrhagic disorders,1,0
factor viii deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
hemophilia,286,62,Coagulation and hemorrhagic disorders,1,0
blood clotting factor deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
factor vii deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
factor ix deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
von willebrands disease,286,62,Coagulation and hemorrhagic disorders,1,0
factor i deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
factor xiii deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
factor ii deficiency,286,62,Coagulation and hemorrhagic disorders,1,0
congenital hemophilia,286,62,Coagulation and hemorrhagic disorders,1,0
thrombocytopenia,287,62,Coagulation and hemorrhagic disorders,2,0
immediate type hypersensitivity,287,62,Coagulation and hemorrhagic disorders,2,0
thrombocyte disorder,287,62,Coagulation and hemorrhagic disorders,2,0
purpura,287,62,Coagulation and hemorrhagic disorders,2,0
thrombocytopenic purpura,287,62,Coagulation and hemorrhagic disorders,2,0
vasculitis,287,62,Coagulation and hemorrhagic disorders,2,0
immune thrombocytopenic purpura,287,62,Coagulation and hemorrhagic disorders,2,0
thrombasthenia,287,62,Coagulation and hemorrhagic disorders,2,0
genital tract inflammation,288,63,Diseases of white blood cells,1,0
leukopenia,288,63,Diseases of white blood cells,1,0
leukopenia drug induced,288,63,Diseases of white blood cells,1,0
granulocytopenia,288,63,Diseases of white blood cells,1,0
neutropenia,288,63,Diseases of white blood cells,1,0
lymphocytopenia,288,63,Diseases of white blood cells,1,0
hypereosinophilic syndrome,288,63,Diseases of white blood cells,1,0
chronic granulomatous disease,288,63,Diseases of white blood cells,1,0
genital tract infection,288,63,Diseases of white blood cells,1,0
hematological disease,289,64,Other hematologic conditions,4,0
plasmodium vivax infection,289,64,Other hematologic conditions,4,0
bone marrow disease,289,64,Other hematologic conditions,4,0
erythrocyte disorder,289,64,Other hematologic conditions,4,0
heparin induced thrombocytopenia,289,64,Other hematologic conditions,4,0
polycythemia,289,64,Other hematologic conditions,4,0
antiphospholipid syndrome,289,64,Other hematologic conditions,4,0
splenomegaly,289,64,Other hematologic conditions,4,0
polycythemia vera,289,64,Other hematologic conditions,4,0
myelofibrosis,289,64,Other hematologic conditions,4,0
protein c deficiency,289,64,Other hematologic conditions,4,0
bone marrow depression,289,64,Other hematologic conditions,4,0
lymphadenitis,289,64,Other hematologic conditions,4,0
methemoglobinemia,289,64,Other hematologic conditions,4,0
viral meningitis,47,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
meningitis,320,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
nervous system inflammation,320,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
bacterial cns infection,320,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
bacterial meningitis,320,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
fungal meningitis,321,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
mumps virus infection,322,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,0
st louis encephalitis virus infection,62,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
japanese encephalitis virus infection,62,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
western equine encephalitis virus infection,62,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
eastern equine encephalitis virus infection,62,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
tick borne encephalitis virus infection,63,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
pseudoobstruction,64,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
encephalitis,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
allergic encephalitis,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
viral encephalitis,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
myelitis,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
hendra virus infection,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
autoimmune encephalomyelitis,323,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,0
poliovirus infection,45,78,Other CNS infection and poliomyelitis,1,0
measles virus infection,46,78,Other CNS infection and poliomyelitis,2,0
central nervous system disease,46,78,Other CNS infection and poliomyelitis,2,0
creutzfeldt jakob disease,46,78,Other CNS infection and poliomyelitis,2,0
vaccinia virus infection,46,78,Other CNS infection and poliomyelitis,2,0
variant creutzfeldt jakob disease,46,78,Other CNS infection and poliomyelitis,2,0
progressive multifocal leukoencephalopathy,46,78,Other CNS infection and poliomyelitis,2,0
paralysis,332,79,Parkinson`s disease,2,0
parkinsons disease,332,79,Parkinson`s disease,2,0
parkinsonism,332,79,Parkinson`s disease,2,0
multiple sclerosis,340,80,Multiple sclerosis,1,0
canavan disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
santavuori-haltia disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
jansky-bielschowsky disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
spielmeyer-vogt disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
batten disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
metachromatic leukodystrophy,330,81,Other hereditary and degenerative nervous system conditions,1,0
globoid cell leukodystrophy,330,81,Other hereditary and degenerative nervous system conditions,1,0
sandhoff disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
rett syndrome,330,81,Other hereditary and degenerative nervous system conditions,1,0
pelizaeus merzbacher disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
leigh disease,330,81,Other hereditary and degenerative nervous system conditions,1,0
alzheimers disease,331,81,Other hereditary and degenerative nervous system conditions,3,0
cognitive disorder,331,81,Other hereditary and degenerative nervous system conditions,3,0
brain disease,331,81,Other hereditary and degenerative nervous system conditions,3,0
hydrocephalus,331,81,Other hereditary and degenerative nervous system conditions,3,0
frontotemporal dementia,331,81,Other hereditary and degenerative nervous system conditions,3,0
lewy body dementia,331,81,Other hereditary and degenerative nervous system conditions,3,0
mild cognitive impairment,331,81,Other hereditary and degenerative nervous system conditions,3,0
parkinsons disease dementia,331,81,Other hereditary and degenerative nervous system conditions,3,0
huntingtons chorea,333,81,Other hereditary and degenerative nervous system conditions,2,0
tardive dyskinesia,333,81,Other hereditary and degenerative nervous system conditions,2,0
extrapyramidal syndrome,333,81,Other hereditary and degenerative nervous system conditions,2,0
cervical dystonia,333,81,Other hereditary and degenerative nervous system conditions,2,0
dystonia,333,81,Other hereditary and degenerative nervous system conditions,2,0
tremor,333,81,Other hereditary and degenerative nervous system conditions,2,0
restless legs syndrome,333,81,Other hereditary and degenerative nervous system conditions,2,0
shy drager syndrome,333,81,Other hereditary and degenerative nervous system conditions,2,0
akathesia,333,81,Other hereditary and degenerative nervous system conditions,2,0
progressive supranuclear palsy,333,81,Other hereditary and degenerative nervous system conditions,2,0
blepharospasm,333,81,Other hereditary and degenerative nervous system conditions,2,0
stiff person syndrome,333,81,Other hereditary and degenerative nervous system conditions,2,0
hallervorden-spatz syndrome,333,81,Other hereditary and degenerative nervous system conditions,2,0
myoclonus,333,81,Other hereditary and degenerative nervous system conditions,2,0
multiple system atrophy,333,81,Other hereditary and degenerative nervous system conditions,2,0
essential tremor,333,81,Other hereditary and degenerative nervous system conditions,2,0
ataxia,334,81,Other hereditary and degenerative nervous system conditions,1,0
ataxia telangiectasia,334,81,Other hereditary and degenerative nervous system conditions,1,0
spinocerebellar ataxia,334,81,Other hereditary and degenerative nervous system conditions,1,0
friedreich ataxia,334,81,Other hereditary and degenerative nervous system conditions,1,0
spastic paraplegia,334,81,Other hereditary and degenerative nervous system conditions,1,0
spinocerebellar degenerations,334,81,Other hereditary and degenerative nervous system conditions,1,0
motor neurone disease,335,81,Other hereditary and degenerative nervous system conditions,1,0
spinal and bulbar muscular atrophy,335,81,Other hereditary and degenerative nervous system conditions,1,0
spinal disease,336,81,Other hereditary and degenerative nervous system conditions,1,0
spinal cord disease,336,81,Other hereditary and degenerative nervous system conditions,1,0
peripheral neuropathy,337,81,Other hereditary and degenerative nervous system conditions,2,0
type i complex regional pain syndrome,337,81,Other hereditary and degenerative nervous system conditions,2,0
hemiplegia,342,82,Paralysis,1,0
cerebral palsy,343,82,Paralysis,1,0
tropical spastic paraparesis,344,82,Paralysis,2,0
epilepsy,345,83,Epilepsy; convulsions,1,0
seizure disorder,345,83,Epilepsy; convulsions,1,0
tonic clonic epilepsy,345,83,Epilepsy; convulsions,1,0
status epilepticus,345,83,Epilepsy; convulsions,1,0
infantile spasms,345,83,Epilepsy; convulsions,1,0
myoclonic seizure,345,83,Epilepsy; convulsions,1,0
juvenile myoclonic epilepsy,345,83,Epilepsy; convulsions,1,0
lennox gastaut syndrome,345,83,Epilepsy; convulsions,1,0
partial seizure,345,83,Epilepsy; convulsions,1,0
complex partial seizure,345,83,Epilepsy; convulsions,1,0
cluster headache,339,84,Headache; including migraine,1,0
guillain barre syndrome,339,84,Headache; including migraine,1,0
migraine,346,84,Headache; including migraine,2,0
migraine with aura,346,84,Headache; including migraine,2,0
cataract,366,86,Cataract,1,0
retinoschisis,361,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
retinopathy,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
diabetic retinopathy,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
age related macular degeneration,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
retinopathy of prematurity,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
retinal venous occlusion,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
proliferative diabetic retinopathy,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
stargardt disease,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
choroidal neovascularization,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
macular disease,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
macular degeneration,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
macular edema,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
wet age related macular degeneration,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
dry age related macular degeneration,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
usher syndrome ii,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
retinal dystrophy,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
lebers congential amaurosis,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
coats disease,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
vascular eye disease,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
macular telangiectasia 2,362,87,Retinal detachments; defects; vascular occlusion; and retinopathy,1,0
glaucoma,365,88,Glaucoma,1,0
ocular hypertension,365,88,Glaucoma,1,0
retinitis pigmentosa,365,88,Glaucoma,1,0
allergic conjunctivitis,365,88,Glaucoma,1,0
open angle glaucoma,365,88,Glaucoma,1,0
angle closure glaucoma,365,88,Glaucoma,1,0
glaucoma surgical procedure,365,88,Glaucoma,1,0
ocular neovascular disorder,365,88,Glaucoma,1,0
presbyopia,367,89,Blindness and vision defects,1,0
vision disorder,368,89,Blindness and vision defects,1,0
nyctalopia,368,89,Blindness and vision defects,1,0
achromatopsia,368,89,Blindness and vision defects,1,0
amblyopia,368,89,Blindness and vision defects,1,0
blindness,369,89,Blindness and vision defects,1,0
trachoma,76,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),1,0
corneal ulcer,370,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),2,0
keratitis,370,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),2,0
keratoconjunctivitis,370,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),2,0
cladophialophora infection,370,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),2,0
