cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
cushings syndrome,,255,Disorders of adrenal glands,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hormone deficiency,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
gonadal disease,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
ovary disease,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
premature ovarian failure,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
ovarian hyperstimulation syndrome,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
fetal growth restriction,,256,Ovarian dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypogonadism,,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
testicular disease,,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
male hypogonadism,,257,Testicular dysfunction,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
multiple endocrine neoplasia,,258,Polyglandular dysfunction and related disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
endocrine disease,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
estrogen deficiency,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
aging,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
precocious puberty,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
andrology,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
werner syndrome,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
laron syndrome,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
testosterone deficiency,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
carcinoid syndrome,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hutchinson gilford progeria syndrome,,259,Other endocrine disorders,Diseases Of Other Endocrine Glands,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
malnutrition,,260,Kwashiorkor,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
nutritional disorder,,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
protein energy deficiency,,263,Other and unspecified protein-calorie malnutrition,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
xerophthalmia,,267,Ascorbic acid deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
rickets,,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
osteomalacia,,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
vitamin e deficiency,,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
vitamin d deficiency,,268,Vitamin D deficiency,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
vitamin k deficiency,,269,Other nutritional deficiencies,Nutritional Deficiencies,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
ocular disease,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
phenylketonuria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
acidemia,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
ornithine transcarbamylase deficiency,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
methylmalonic acidemia,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hermansky-pudlak syndrome,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cystinuria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
citrullinuria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
albinism,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
type i tyrosinemia,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
n-acetylglutamate synthase deficiency,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperammonemia,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
homocystinuria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
nephropathic cystinosis,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
ocular cystinosis,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
alkaptonuria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
fatty acid oxidation disorder,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
carbamoyl phosphate synthase i deficiency,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
glutaric aciduria,,270,Disorders of amino-acid transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
carbohydrate metabolism disorder,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
glycogen storage disease,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
storage disease,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperoxaluria,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
pompes disease,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
andersen disease,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
alpha mannosidosis,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
galactosemia,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lactose intolerance,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
sucrase isomaltase deficiency,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
glycogen storage disease 1a,,271,Disorders of carbohydrate transport and metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
gaucher disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypercholesterolemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperlipidemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
niemann pick disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cholesterol metabolism disorder,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lipid metabolism disorder,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lysosome storage disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
fabry disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperlipoproteinemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
proteinosis,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lecithin cholesterol acetyltransferase deficiency,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypertriglyceridemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
gauchers disease type i,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
gauchers disease type iii,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
sitosterolemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lipoprotein lipase deficiency,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lipodystrophy,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hiv-associated lipodystrophy,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
niemann pick disease type b,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
niemann pick disease type c1,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
familial hypercholesterolemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cerebrotendinous xanthomatosis,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cholesteryl ester storage disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperlipoproteinemia type i,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperlipoproteinemia type iii,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
niemann pick disease type c,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lysosomal acid lipase deficiency,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypoalphalipoproteinemia,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
wolman disease,,272,Disorders of lipoid metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
macroglobulinemia,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
alpha-1 antitrypsin deficiency,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
paraproteinemia,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cryoglobulinemia,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypoalbuminemia,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypogelsolinemia,,273,Disorders of plasma protein metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
gout,,274,Gout,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypercalcemia,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypocalcemia,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperphosphatemia,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
calcium metabolism disorder,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
iron metabolism disorder,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
iron overload,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypophosphatemia,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hemochromatosis,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
calciphylaxis,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
wilson disease,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
copper metabolism disorder,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
x linked dominant hypophosphatemic rickets,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypophosphatasia,,275,Disorders of mineral metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
acidosis,,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyponatremia,,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypovolemia,,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperkalemia,,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypernatremia,,276,"Disorders of fluid, electrolyte, and acid-base balance",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cystic fibrosis,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hereditary angioedema,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hyperbilirubinemia,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
lesch nyhan syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
inborn error of metabolism,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
metabolic disorder,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
x-linked genetic disorder,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
amyloidosis,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
progestogen deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
syndrome x,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
adrenoleukodystrophy,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
mucopolysaccharidosis,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
mucopolysaccharidosis type i,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hurler syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hunter syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
sanfilippo syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
morquio syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
maroteaux-lamy syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
sly syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
enzyme deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
crigler-najjar syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
adenosine deaminase deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
insulin resistance,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
mitochondrial disease,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
mitochondrial encephalomyopathy,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
melas syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hepatic porphyria,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
acute intermittent porphyria,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
adrenomyeloneuropathy,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
multiple organ failure,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cerebral amyloid angiopathy,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
muckle wells syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
familial mediterranean fever,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
metabolic syndrome x,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
familial amyloid neuropathy,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
al amyloidosis,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
carnitine palmitoyltransferase deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
molybdenum cofactor deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
familial cold autoinflammatory syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
cinca syndrome,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
erythropoietic protoporphyria,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
choline deficiency,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
familial dysautonomia,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
histiocytosis,,277,Other and unspecified disorders of metabolism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
obesity,,278,"Overweight, obesity and other hyperalimentation",Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
autoimmune disease,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
immune disorder,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
immune deficiency,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
autosomal recessive disorder,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
graft versus host disease,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
wiskott-aldrich syndrome,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
agammaglobulinemia,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
immunoglobulin g deficiency,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
common variable immunodeficiency,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
tissue transplantation,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
severe combined immunodeficiency syndrome,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hypogammaglobulinemia,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
barth syndrome,,279,Disorders involving the immune mechanism,Other Metabolic And Immunity Disorders,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
hemolytic anemia,,280,Iron deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
henoch schonlein purpura,,280,Iron deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
iron deficiency anemia,,280,Iron deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
anemia,,281,Other deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
folic acid deficiency,,281,Other deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
vitamin b12 deficiency,,281,Other deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
